"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Wallet - Transaction History - US Stock","","0","2","10","0","0"
"","Wallet - IDR Wallet - Withdraw","","0","8","0","0","0"
"","Wallet - Transaction History - General","","1","1","37","0","0"
"","Wallet - Transaction History - IDR","","0","0","13","0","0"
"","Wallet - IDR Wallet","","1","0","5","0","0"
"","Wallet Home","","0","1","0","0","0"
"","Wallet - Crypto Wallet","","0","3","9","0","0"
"","Wallet - IDR Wallet - Deposit","","0","6","1","0","0"
"","Wallet - USD Wallet","","0","7","0","0","0"
"","Crypto - Trading History","","0","0","20","0","0"
"","Wallet - USD Wallet - Yield","","0","2","5","0","0"
"","Crypto - Market","","0","0","4","0","0"
"","Wallet - Transaction History - Crypto","","1","0","14","0","0"
"","Crypto - Discovery","","0","0","6","0","0"
"","Wallet - Crypto Wallet - Send Coin #1","","0","2","0","0","0"
"","Wallet - US Stock Wallet","","0","0","7","0","0"
"","Wallet - US Stock - Transaction Detail","","0","0","5","0","0"
"","Wallet - Transaction History - USD","","0","1","9","0","0"
"","Wallet - USD - Transaction Detail","","0","1","2","0","0"
"","Wallet - USD Wallet - Buy/Sell","","0","4","2","0","0"
"","Wallet - Crypto - Transaction Detail","","3","0","5","0","0"
"","Wallet - IDR Wallet - Transaction Detail","","0","0","7","0","0"
"","Profile - Setup Withdrawal Account","","0","0","1","0","0"
"","Forgot Password","","0","1","0","0","0"
"","Wallet - Crypto Wallet - Receive Coin","","0","1","0","0","0"
"","Wallet - Crypto Wallet - Send Coin #3","","0","3","1","0","0"
"","Login","","0","0","1","0","0"
"","Sign Up","","0","0","1","0","0"
"","Profile - My Account","","0","0","1","0","0"
"","Profile - Change Password","","0","1","1","0","0"
