"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 11 21:09:31 UTC 2024","Thu Apr 11 21:10:36 UTC 2024","64207","","Wallet Deposit IDR","","","","(Non-VIP BCA) User successfully submit deposit Rp10.000 to 49,999mio with BSS VA [MOBILE2-1707] | PROD_ISS",""
"passed","Thu Apr 11 21:15:34 UTC 2024","Thu Apr 11 21:16:05 UTC 2024","31141","","Wallet - Staking","","","","User shoud be able see total stake at coin detail page [MOBILE2-1509 MOBILE2-1497 MOBILE2-1504 MOBILE2-1505] | PROD_ISS",""
"passed","Thu Apr 11 21:12:26 UTC 2024","Thu Apr 11 21:12:46 UTC 2024","20070","","Wallet Deposit IDR","","","","User successfully deposit IDR by E-Wallet (LINKAJA) [MOBILE2-231] | PROD_ISS",""
"passed","Thu Apr 11 21:11:47 UTC 2024","Thu Apr 11 21:12:05 UTC 2024","18783","","Wallet Deposit IDR","","","","User successfully deposit IDR by E-Wallet (OVO) and see the status deposit via e-wallet is waiting for payment [MOBILE2-227] | PROD_ISS",""
"passed","Thu Apr 11 21:05:36 UTC 2024","Thu Apr 11 21:06:35 UTC 2024","58782","","Market - Price Alert","","","","User successfully set price alert [MOBILE2-2633] | PROD_ISS",""
"passed","Thu Apr 11 21:04:11 UTC 2024","Thu Apr 11 21:04:38 UTC 2024","27235","","Deeplink Reset Password","","","","User access deeplink reset password | PROD_ISS",""
"passed","Thu Apr 11 21:12:46 UTC 2024","Thu Apr 11 21:13:06 UTC 2024","20287","","Wallet Deposit IDR","","","","User successfully deposit IDR by E-Wallet (SHOPEEPAY) [MOBILE2-232] | PROD_ISS",""
"passed","Thu Apr 11 21:12:05 UTC 2024","Thu Apr 11 21:12:26 UTC 2024","20681","","Wallet Deposit IDR","","","","User successfully deposit IDR by E-Wallet (DANA) [MOBILE2-228 MOBILE2-183] | PROD_ISS",""
"passed","Thu Apr 11 21:18:53 UTC 2024","Thu Apr 11 21:18:59 UTC 2024","5685","","Wallet Home","","","","User successfully redirected to transfer from page when click deposit idr [MOBILE2-1087] | PROD_ISS",""
"passed","Thu Apr 11 21:18:02 UTC 2024","Thu Apr 11 21:18:10 UTC 2024","8316","","Wallet Home","","","","User successfully redirected to total IDR balance when click balance [MOBILE2-1075 MOBILE2-1080 MOBILE2-1579 MOBILE2-2337] | PROD_ISS",""
"passed","Thu Apr 11 21:17:22 UTC 2024","Thu Apr 11 21:18:02 UTC 2024","39502","","Wallet Home","","","","User successfully redirected to transaction history page when click history icon [MOBILE2-649] | PROD_ISS",""
"passed","Thu Apr 11 21:18:10 UTC 2024","Thu Apr 11 21:18:53 UTC 2024","42890","","Wallet Home","","","","User should be able to see open order balance [MOBILE2-1583] | PROD_ISS",""
"passed","Thu Apr 11 21:11:28 UTC 2024","Thu Apr 11 21:11:47 UTC 2024","18488","","Wallet Deposit IDR","","","","(Non-VIP BCA) User successfully submit deposit ≥ 100mio with Virtual Account [MOBILE2-1767] | PROD_ISS",""
"passed","Thu Apr 11 21:15:05 UTC 2024","Thu Apr 11 21:15:34 UTC 2024","29254","","Wallet - Staking","","","","User successfully redirected to coin stake form when click stake button on coin [MOBILE2-1481 MOBILE2-1486 MOBILE2-1495] | PROD_ISS",""
"passed","Thu Apr 11 21:16:05 UTC 2024","Thu Apr 11 21:16:26 UTC 2024","20636","","Wallet - Staking","","","","User should be able to see the rewards distribution when have a staked coin and past the reward payout period [MOBILE2-1510] | PROD_ISS",""
"passed","Thu Apr 11 21:14:09 UTC 2024","Thu Apr 11 21:15:05 UTC 2024","56270","","Wallet - Staking","","","","User should be able to see total stake [MOBILE2-1474 MOBILE2-2417 MOBILE2-2418 MOBILE2-1484 MOBILE2-2419 MOBILE2-2420] | PROD_ISS",""
"passed","Thu Apr 11 21:10:36 UTC 2024","Thu Apr 11 21:11:28 UTC 2024","52390","","Wallet Deposit IDR","","","","(Non-VIP BCA) User successfully submit deposit ≥ 100mio with Transfer Bank [MOBILE2-1766] | PROD_ISS",""
"passed","Thu Apr 11 21:18:59 UTC 2024","Thu Apr 11 21:19:05 UTC 2024","6242","","Wallet Home","","","","User successfully redirected to withdraw page when click withdraw idr [MOBILE2-1088] | PROD_ISS",""
"passed","Thu Apr 11 21:19:05 UTC 2024","Thu Apr 11 21:19:14 UTC 2024","9149","","Wallet Home","","","","User successfully redirected to idr transaction history page when click history icon [MOBILE2-1585] | PROD_ISS",""
"passed","Thu Apr 11 21:09:14 UTC 2024","Thu Apr 11 21:09:31 UTC 2024","17815","","Wallet Deposit IDR","","","","(VIP-BCA) User successfully submit deposit with Virtual Account [MOBILE2-1765] | PROD_ISS",""
"passed","Thu Apr 11 21:07:44 UTC 2024","Thu Apr 11 21:09:14 UTC 2024","89276","","Wallet Deposit IDR","","","","(VIP-BCA) User successfully submit deposit with Transfer Bank and see the status deposit via Bank Transfer is waiting for payment [MOBILE2-1705 MOBILE2-175] | PROD_ISS",""
