"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 10 16:32:59 WIB 2023","Sun Dec 10 16:33:01 WIB 2023","1764","","Wallet Deposit IDR","","Wallet Deposit IDR","User cant deposit by E-Wallet (OVO) with under minimum amount [MOBILE2-234]","User cant deposit by E-Wallet (OVO) with under minimum amount [MOBILE2-234]",""
"passed","Sun Dec 10 16:29:04 WIB 2023","Sun Dec 10 16:29:15 WIB 2023","10466","","Sign Up","","Sign Up","User can not sign up if email invalid [MOBILE2-16]","User can not sign up if email invalid [MOBILE2-16]",""
"passed","Sun Dec 10 16:39:51 WIB 2023","Sun Dec 10 16:40:01 WIB 2023","9422","","Wallet Transaction Detail / History","","Wallet Transaction Detail / History","User should be able see the status withdraw via Bank Transfer is failed [MOBILE2-255]","User should be able see the status withdraw via Bank Transfer is failed [MOBILE2-255]",""
"passed","Sun Dec 10 16:38:38 WIB 2023","Sun Dec 10 16:38:58 WIB 2023","20330","","Wallet Transaction Detail / History","","Wallet Transaction Detail / History","User should be able see the status deposit via e-wallet is successful [MOBILE2-185]","User should be able see the status deposit via e-wallet is successful [MOBILE2-185]",""
"passed","Sun Dec 10 16:41:26 WIB 2023","Sun Dec 10 16:41:40 WIB 2023","13635","","Wallet Withdraw IDR","","Wallet Withdraw IDR","User cant withdraw IDR when doesnt have phone number and unverified [MOBILE2-2091]","User cant withdraw IDR when doesnt have phone number and unverified [MOBILE2-2091]",""
"passed","Sun Dec 10 16:40:28 WIB 2023","Sun Dec 10 16:40:43 WIB 2023","14301","","Wallet Home","","Wallet Home","User successfully redirected to transaction history page when click history icon [MOBILE2-649]","User successfully redirected to transaction history page when click history icon [MOBILE2-649]",""
"passed","Sun Dec 10 16:20:07 WIB 2023","Sun Dec 10 16:20:11 WIB 2023","3450","","Home Non-login","","Home Non-login","User can skip welcome screen [MOBILE2-1381]","User can skip welcome screen [MOBILE2-1381]",""
"broken","Sun Dec 10 16:23:05 WIB 2023","Sun Dec 10 16:23:35 WIB 2023","29924","","Login","","Login","User successfully sign in using 2FA [MOBILE2-283]","User successfully sign in using 2FA [MOBILE2-283]",""
"passed","Sun Dec 10 16:30:55 WIB 2023","Sun Dec 10 16:31:00 WIB 2023","4853","","Wallet Deposit IDR","","Wallet Deposit IDR","(VIP-MANDIRI) User successfully submit deposit Rp10.000 to 24,999mio with Mandiri VA [MOBILE2-1769]","(VIP-MANDIRI) User successfully submit deposit Rp10.000 to 24,999mio with Mandiri VA [MOBILE2-1769]",""
"passed","Sun Dec 10 16:32:46 WIB 2023","Sun Dec 10 16:32:53 WIB 2023","6581","","Wallet Deposit IDR","","Wallet Deposit IDR","User successfully deposit IDR by E-Wallet (LINKAJA) [MOBILE2-231]","User successfully deposit IDR by E-Wallet (LINKAJA) [MOBILE2-231]",""
