"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 05 04:46:18 UTC 2024","Fri Apr 05 04:46:22 UTC 2024","4121","","Wallet Home","","","","User successfully redirected to send coin page when click send coin [MOBILE2-640] | PROD_NGT",""
"passed","Fri Apr 05 03:51:20 UTC 2024","Fri Apr 05 03:51:35 UTC 2024","15291","","Login","","","","User successfully redirected to sign up page when click Sign Up [MOBILE2-297] | PROD_NGT",""
"passed","Fri Apr 05 04:16:05 UTC 2024","Fri Apr 05 04:16:36 UTC 2024","30653","","Wallet Deposit IDR","","","","(VIP-MANDIRI) User successfully submit deposit Rp10.000 to 24,999mio with Mandiri VA [MOBILE2-1769] | PROD_NGT",""
"passed","Fri Apr 05 04:05:22 UTC 2024","Fri Apr 05 04:05:53 UTC 2024","31423","","Profile - Setup Withdrawal Account","","","","User cant set wd account when havent add phone number and unverified [MOBILE2-2115] | PROD_NGT",""
"broken","Fri Apr 05 04:43:24 UTC 2024","Fri Apr 05 04:44:03 UTC 2024","38867","","Wallet Transaction Detail / History","","","","User should be able see the status withdraw via Ewallet is is successful [MOBILE2-258] | PROD_NGT",""
"passed","Fri Apr 05 04:25:35 UTC 2024","Fri Apr 05 04:26:23 UTC 2024","48804","","Wallet Deposit IDR","","","","User cant deposit by E-Wallet (DANA) with above the maximum deposit limit [MOBILE2-242] | PROD_NGT",""
"passed","Fri Apr 05 04:09:07 UTC 2024","Fri Apr 05 04:10:45 UTC 2024","98082","","Sign Up","","","","User can not sign up if it doesnt meet all validation password [MOBILE2-15] | PROD_NGT",""
"passed","Fri Apr 05 04:49:33 UTC 2024","Fri Apr 05 04:49:50 UTC 2024","16985","","Wallet Withdraw IDR","","","","User unsuccessfully withdraw internal transfer with saving an address previously saved address [MOBILE2-2216] | PROD_NGT",""
"passed","Fri Apr 05 04:21:32 UTC 2024","Fri Apr 05 04:22:14 UTC 2024","41648","","Wallet Deposit IDR","","","","User successfully see IDR Deposit Address and QR Code for Internal Transfer [MOBILE2-224] | PROD_NGT",""
"passed","Fri Apr 05 04:19:32 UTC 2024","Fri Apr 05 04:19:48 UTC 2024","16289","","Wallet Deposit IDR","","","","(Non-VIP MANDIRI) User successfully submit deposit ≥ 100mio with Virtual Account [MOBILE2-1773] | PROD_NGT",""
"passed","Fri Apr 05 03:57:26 UTC 2024","Fri Apr 05 03:57:59 UTC 2024","33375","","Profile - My Account","","","","User can see detail information account (Verified Account) [MOBILE2-1054] | PROD_NGT",""
"passed","Fri Apr 05 04:31:56 UTC 2024","Fri Apr 05 04:32:05 UTC 2024","9512","","Wallet Send Coin","","","","User unsuccessfully send coin when input amount coin above the available coin balance [MOBILE2-2282] | PROD_NGT",""
"passed","Fri Apr 05 03:48:18 UTC 2024","Fri Apr 05 03:48:22 UTC 2024","4265","","Home","","","","User successfully redirected to live chat web view when click live chat entrypoint on homecircle [MOBILE2-1535] | PROD_NGT",""
"passed","Fri Apr 05 04:20:52 UTC 2024","Fri Apr 05 04:21:32 UTC 2024","39981","","Wallet Deposit IDR","","","","User cant deposit IDR when have phone number but unverified [MOBILE2-188] | PROD_NGT",""
"passed","Fri Apr 05 04:16:36 UTC 2024","Fri Apr 05 04:17:11 UTC 2024","34917","","Wallet Deposit IDR","","","","(VIP-MANDIRI) User successfully submit deposit 25mio to 99,999mio / ≥ 100 mio with Virtual Account [MOBILE2-1712] | PROD_NGT",""
"passed","Fri Apr 05 04:28:59 UTC 2024","Fri Apr 05 04:29:34 UTC 2024","35809","","Wallet Receive Coin","","","","User successfully receive coins from Internal [MOBILE2-1621] | PROD_NGT",""
"passed","Fri Apr 05 04:14:43 UTC 2024","Fri Apr 05 04:16:05 UTC 2024","82409","","Wallet Deposit IDR","","","","(VIP-MANDIRI) User successfully submit deposit with Transfer Bank [MOBILE2-1768] | PROD_NGT",""
"passed","Fri Apr 05 04:31:46 UTC 2024","Fri Apr 05 04:31:56 UTC 2024","10187","","Wallet Send Coin","","","","User unsuccessfully send coin when input amount coin above the maximum quantity to send [MOBILE2-2281] | PROD_NGT",""
"passed","Fri Apr 05 04:47:17 UTC 2024","Fri Apr 05 04:47:25 UTC 2024","7741","","Wallet Home","","","","User successfully redirected to idr transaction history page when click history icon [MOBILE2-1585] | PROD_ISS",""
"passed","Fri Apr 05 04:00:30 UTC 2024","Fri Apr 05 04:00:45 UTC 2024","15022","","Profile - Phone Number","","","","User unsuccesfully add a phone number if phone number has been registered [MOBILE2-1751] | PROD_NGT",""
"passed","Fri Apr 05 04:30:24 UTC 2024","Fri Apr 05 04:30:57 UTC 2024","33186","","Wallet Send Coin","","","","User cant send coin when have phone number but unverified [MOBILE2-2226] | PROD_NGT",""
"passed","Fri Apr 05 04:07:00 UTC 2024","Fri Apr 05 04:07:12 UTC 2024","11849","","Profile - Setup Withdrawal Account","","","","User successfully save and delete e-wallet number [MOBILE2-1164 MOBILE2-1179] | PROD_NGT",""
"broken","Fri Apr 05 04:41:30 UTC 2024","Fri Apr 05 04:42:08 UTC 2024","38116","","Wallet Transaction Detail / History","","","","User should be able see the status withdraw via Internal Transfer is successful [MOBILE2-250] | PROD_NGT",""
"passed","Fri Apr 05 04:48:37 UTC 2024","Fri Apr 05 04:49:22 UTC 2024","44619","","Wallet Withdraw IDR","","","","User can add new address to withdraw internal transfer [MOBILE2-2192] | PROD_NGT",""
"passed","Fri Apr 05 03:55:01 UTC 2024","Fri Apr 05 03:55:09 UTC 2024","8642","","Profile - Change Password","","","","User cant change password if old password wrong [MOBILE2-1207] | PROD_NGT",""
