"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Feb 13 17:02:12 UTC 2024","Tue Feb 13 17:02:19 UTC 2024","7284","","Wallet - Transaction History - General","","","","BETA-V3 User can filter the transaction history Balance USD with select multiple transaction type and status [MOBILE2-2947]",""
"passed","Tue Feb 13 17:28:11 UTC 2024","Tue Feb 13 17:28:33 UTC 2024","21195","","Wallet - US Stock Wallet","","","","BETA-V3 User should be able to see the last 10 transaction history on USS card page [MOBILE2-2579]",""
"broken","Tue Feb 13 16:54:19 UTC 2024","Tue Feb 13 16:54:45 UTC 2024","26350","","Wallet - Transaction History - Crypto","","","","BETA-V3 User successfully redirected to Crypto transaction detail page [MOBILE2-3105]",""
"passed","Tue Feb 13 16:38:13 UTC 2024","Tue Feb 13 16:38:57 UTC 2024","43235","","Wallet - IDR Wallet","","","","BETA-V3 User should be able see empty state on IDR Card page when no transaction state [MOBILE2-2567]",""
"failed","Tue Feb 13 17:40:09 UTC 2024","Tue Feb 13 17:41:16 UTC 2024","66928","","Wallet - USD Wallet","","","","BETA-V3 User should be able see empty state on USD Card page when no transaction state [MOBILE2-2574]",""
"passed","Tue Feb 13 16:31:09 UTC 2024","Tue Feb 13 16:31:26 UTC 2024","17019","","Wallet - Crypto Wallet","","","","BETA-V3 User successfully redirected to Receive page when click Receive [MOBILE2-2576]",""
"broken","Tue Feb 13 17:02:32 UTC 2024","Tue Feb 13 17:02:39 UTC 2024","6852","","Wallet - Transaction History - General","","","","BETA-V3 User can filter the transaction history Asset Crypto with transaction type Send [MOBILE2-2951]",""
"passed","Tue Feb 13 16:07:25 UTC 2024","Tue Feb 13 16:07:40 UTC 2024","15011","","Login","","","","BETA User can not sign in with email and password when registered by Google [MOBILE2-289]",""
"passed","Tue Feb 13 16:24:54 UTC 2024","Tue Feb 13 16:25:36 UTC 2024","41855","","Wallet - Crypto - Transaction Detail","","","","BETA-V3 User should be able to see transaction detail of Giveaway [MOBILE2-3331]",""
"passed","Tue Feb 13 17:25:11 UTC 2024","Tue Feb 13 17:26:08 UTC 2024","56333","","Wallet - US Stock Wallet","","","","BETA-V3 User should be able to see the current balance of us stock owned in USD [MOBILE2-2578]",""
"passed","Tue Feb 13 16:49:13 UTC 2024","Tue Feb 13 16:49:35 UTC 2024","21182","","Wallet - Transaction History - Crypto","","","","BETA-V3 User can see empty state when no transaction on filter transaction history Crypto [MOBILE2-3107]",""
"broken","Tue Feb 13 17:03:50 UTC 2024","Tue Feb 13 17:03:57 UTC 2024","6509","","Wallet - Transaction History - General","","","","BETA-V3 User can filter the transaction history Asset US Stock with select multiple transaction type and status [MOBILE2-2977]",""
"passed","Tue Feb 13 16:55:30 UTC 2024","Tue Feb 13 16:56:15 UTC 2024","44937","","Wallet - Transaction History - General","","","","BETA-V3 User can see empty state when no transaction history balance in last 1 year [MOBILE2-3221]",""
"failed","Tue Feb 13 17:07:09 UTC 2024","Tue Feb 13 17:07:21 UTC 2024","12185","","Wallet - Transaction History - IDR","","","","BETA-V3 User can filter the transaction history IDR with transaction type withdraw [MOBILE2-3039]",""
"broken","Tue Feb 13 17:01:53 UTC 2024","Tue Feb 13 17:01:59 UTC 2024","6442","","Wallet - Transaction History - General","","","","BETA-V3 User can filter the transaction history Balance USD with transaction type Buy USD [MOBILE2-2938]",""
"passed","Tue Feb 13 16:45:23 UTC 2024","Tue Feb 13 16:46:25 UTC 2024","61709","","Wallet - IDR Wallet - Withdraw","","","","BETA User can withdraw Internal transfer/Ewallet/Bank transfer with not receive full amount [MOBILE2-2208]",""
"passed","Tue Feb 13 16:50:48 UTC 2024","Tue Feb 13 16:51:10 UTC 2024","21536","","Wallet - Transaction History - Crypto","","","","BETA-V3 User can filter the transaction history Crypto with transaction type receive [MOBILE2-3122]",""
"passed","Tue Feb 13 17:34:56 UTC 2024","Tue Feb 13 17:36:16 UTC 2024","80279","","Wallet - USD - Transaction Detail","","","","BETA-V3 User should be able to see transaction detail of Buy USD [MOBILE2-3315]",""
"failed","Tue Feb 13 17:07:45 UTC 2024","Tue Feb 13 17:07:57 UTC 2024","11871","","Wallet - Transaction History - IDR","","","","BETA-V3 User can filter the transaction history IDR with status in process [MOBILE2-3041]",""
"passed","Tue Feb 13 16:50:01 UTC 2024","Tue Feb 13 16:50:24 UTC 2024","23540","","Wallet - Transaction History - Crypto","","","","BETA-V3 User can filter the transaction history Crypto with transaction type sell [MOBILE2-3110]",""
"broken","Tue Feb 13 17:02:19 UTC 2024","Tue Feb 13 17:02:26 UTC 2024","6480","","Wallet - Transaction History - General","","","","BETA-V3 User can filter the transaction history Asset Crypto with transaction type Buy [MOBILE2-2948]",""
"passed","Tue Feb 13 16:39:44 UTC 2024","Tue Feb 13 16:40:20 UTC 2024","36326","","Wallet - IDR Wallet - Withdraw","","","","BETA User cant withdraw IDR when doesnt have phone number but verified [MOBILE2-2090]",""
"passed","Tue Feb 13 16:15:34 UTC 2024","Tue Feb 13 16:16:21 UTC 2024","47049","","Wallet - Crypto Wallet - Receive Coin","","","","BETA User cant receive coin when doesnt have phone number but verified [MOBILE2-1627]",""
"broken","Tue Feb 13 17:01:14 UTC 2024","Tue Feb 13 17:01:20 UTC 2024","6569","","Wallet - Transaction History - General","","","","BETA-V3 User can filter the transaction history Balance IDR with transaction type withdraw [MOBILE2-2927]",""
"passed","Tue Feb 13 17:31:38 UTC 2024","Tue Feb 13 17:32:05 UTC 2024","26544","","Wallet - USD Wallet - Buy/Sell","","","","BETA-V3 User unsuccessfully buy when input amount above available balance [MOBILE2-2618]",""
"broken","Tue Feb 13 16:56:28 UTC 2024","Tue Feb 13 16:59:28 UTC 2024","180006","","Wallet - Transaction History - General","","","","BETA-V3 User can see empty state when no transaction history pending order [MOBILE2-2652]",""
"passed","Tue Feb 13 16:27:57 UTC 2024","Tue Feb 13 16:28:56 UTC 2024","59401","","Wallet - Crypto Wallet","","","","BETA-V3 User should be able see empty state on CryptoCard page when no transaction state [MOBILE2-2577]",""
"passed","Tue Feb 13 17:19:31 UTC 2024","Tue Feb 13 17:20:00 UTC 2024","28711","","Wallet - Transaction History - USD","","","","BETA-V3 User can see total filter notification in the icon filter and reset filter transaction history USD [MOBILE2-3088 MOBILE2-3090]",""
"broken","Tue Feb 13 17:30:39 UTC 2024","Tue Feb 13 17:31:38 UTC 2024","59035","","Wallet - USD Wallet - Buy/Sell","","","","BETA-V3 User successfully buy USD from entry point USD page [MOBILE2-2591]",""
"passed","Tue Feb 13 17:39:27 UTC 2024","Tue Feb 13 17:39:48 UTC 2024","20965","","Wallet - USD Wallet","","","","BETA-V3 User successfully redirected to Buy page when click Buy [MOBILE2-2572]",""
"broken","Tue Feb 13 17:01:59 UTC 2024","Tue Feb 13 17:02:06 UTC 2024","6685","","Wallet - Transaction History - General","","","","BETA-V3 User can filter the transaction history Balance USD with transaction type Sell USD [MOBILE2-2939]",""
"passed","Tue Feb 13 16:50:24 UTC 2024","Tue Feb 13 16:50:48 UTC 2024","23650","","Wallet - Transaction History - Crypto","","","","BETA-V3 User can filter the transaction history Crypto with transaction type Send [MOBILE2-3111]",""
"broken","Tue Feb 13 17:02:46 UTC 2024","Tue Feb 13 17:02:52 UTC 2024","6456","","Wallet - Transaction History - General","","","","BETA-V3 User can filter the transaction history Asset Crypto with transaction type Reward [MOBILE2-2953]",""
"failed","Tue Feb 13 17:07:21 UTC 2024","Tue Feb 13 17:07:33 UTC 2024","11949","","Wallet - Transaction History - IDR","","","","BETA-V3 User can filter the transaction history IDR with transaction type reward [MOBILE2-3040]",""
"broken","Tue Feb 13 16:46:25 UTC 2024","Tue Feb 13 16:47:41 UTC 2024","75880","","Wallet - IDR Wallet - Withdraw","","","","BETA User successfully withdraw IDR Internal Transfer/E-wallet/Transfer Bank with percentage 100% from available balance [MOBILE2-2213]",""
"failed","Tue Feb 13 16:36:50 UTC 2024","Tue Feb 13 16:37:34 UTC 2024","43689","","Wallet - IDR Wallet","","","","BETA-V3 User should be able see total balance IDR owned [MOBILE2-2551]",""
"passed","Tue Feb 13 17:13:44 UTC 2024","Tue Feb 13 17:14:13 UTC 2024","29376","","Wallet - Transaction History - US Stock","","","","BETA-V3 User can unselect filter the transaction history Stock [MOBILE2-3142 MOBILE2-3144]",""
"broken","Tue Feb 13 17:03:05 UTC 2024","Tue Feb 13 17:03:11 UTC 2024","6546","","Wallet - Transaction History - General","","","","BETA-V3 User can filter the transaction history Asset Crypto with status failed [MOBILE2-2956]",""
"passed","Tue Feb 13 16:56:15 UTC 2024","Tue Feb 13 16:56:28 UTC 2024","12522","","Wallet - Transaction History - General","","","","BETA-V3 User can see empty state when no transaction history asset in last 1 year [MOBILE2-3222]",""
"passed","Tue Feb 13 16:35:19 UTC 2024","Tue Feb 13 16:36:09 UTC 2024","49572","","Wallet - IDR Wallet - Deposit","","","","BETA User cant deposit IDR when doesnt have phone number but verified [MOBILE2-198]",""
