"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 16 17:07:03 UTC 2024","Tue Apr 16 17:07:37 UTC 2024","33876","","Watchlist","","","","User can see watchlist asset stocks page [MOBILE2-3638] | BETA-V3",""
"broken","Tue Apr 16 16:43:40 UTC 2024","Tue Apr 16 16:45:14 UTC 2024","93848","","Wallet - USD Wallet - Buy/Sell","","","","User successfully buy USD from entry point wallet [MOBILE2-2590] | BETA-V3",""
"passed","Tue Apr 16 16:04:25 UTC 2024","Tue Apr 16 16:04:48 UTC 2024","23475","","Wallet - Transaction History - General","","","","User can filter the transaction history Asset Crypto with select multiple transaction type and status [MOBILE2-2962] | BETA-V3",""
"passed","Tue Apr 16 14:24:05 UTC 2024","Tue Apr 16 14:24:56 UTC 2024","51480","","Crypto - Trading History","","","","User can unselect filter the pending order history crypto [MOBILE2-3189] | BETA-V3",""
"passed","Tue Apr 16 14:34:02 UTC 2024","Tue Apr 16 14:34:43 UTC 2024","40520","","Profile - My Account","","","","Unverified user successfully redirected to verify account page when click verify now buttton [MOBILE2-1135] | BETA",""
"passed","Tue Apr 16 15:51:30 UTC 2024","Tue Apr 16 15:52:10 UTC 2024","39784","","Wallet - Transaction History - Crypto","","","","User can unselect filter the transaction history Crypto [MOBILE2-3119] | BETA-V3",""
"passed","Tue Apr 16 16:06:32 UTC 2024","Tue Apr 16 16:07:39 UTC 2024","66901","","Wallet - Transaction History - General","","","","User can't filter the transaction history Asset US Stock with select date more than 1 year [MOBILE2-3253] | BETA-V3",""
"passed","Tue Apr 16 14:03:43 UTC 2024","Tue Apr 16 14:03:51 UTC 2024","7812","","Crypto - Discovery","","","","User can see pocket entry point [MOBILE2-3617] | BETA-V3",""
"broken","Tue Apr 16 16:36:52 UTC 2024","Tue Apr 16 16:37:36 UTC 2024","44470","","Wallet - US Stock - Transaction Detail","","","","User should be able to see transaction detail of Limit Buy/Sell Stock status Canceled [MOBILE2-3339] | BETA-V3",""
"passed","Tue Apr 16 14:22:27 UTC 2024","Tue Apr 16 14:23:10 UTC 2024","42936","","Crypto - Trading History","","","","User can see total filter notification in the icon filter order history crypto [MOBILE2-3187] | BETA-V3",""
"passed","Tue Apr 16 14:35:32 UTC 2024","Tue Apr 16 14:36:10 UTC 2024","37578","","Profile - Setup Withdrawal Account","","","","Unverified user successfully redirected to verify account page when click set up withdrawal account menu [MOBILE2-1130 MOBILE2-2114] | BETA",""
"broken","Tue Apr 16 16:11:57 UTC 2024","Tue Apr 16 16:12:32 UTC 2024","35265","","Wallet - Transaction History - General","","","","User can filter the transaction history Asset US Stock with transaction type Stock Split & Reverse Split [MOBILE2-2966] | BETA-V3",""
"passed","Tue Apr 16 16:13:58 UTC 2024","Tue Apr 16 16:14:50 UTC 2024","51545","","Wallet - Transaction History - IDR","","","","User successfully redirected to IDR wallet transaction history [MOBILE2-2675] | BETA-V3",""
"passed","Tue Apr 16 16:16:45 UTC 2024","Tue Apr 16 16:17:02 UTC 2024","17062","","Wallet - Transaction History - IDR","","","","User can filter the transaction history IDR with status in process [MOBILE2-3041] | BETA-V3",""
"failed","Tue Apr 16 15:02:29 UTC 2024","Tue Apr 16 15:03:37 UTC 2024","67193","","Wallet - Crypto - Transaction Detail","","","","EXPECTED FAIL - User should be able to see transaction detail of Buy Crypto status Success [MOBILE2-3320] | BETA-V3",""
"passed","Tue Apr 16 14:20:48 UTC 2024","Tue Apr 16 14:21:42 UTC 2024","54722","","Crypto - Trading History","","","","User can filter the order history Crypto with select multiple transaction type and status [MOBILE2-2740] | BETA-V3",""
"broken","Tue Apr 16 15:45:43 UTC 2024","Tue Apr 16 15:45:49 UTC 2024","6768","","Wallet - IDR Wallet - Withdraw","","","","User successfully withdraw IDR Internal Transfer/E-wallet/Transfer Bank with percentage 100% from available balance [MOBILE2-2213] | BETA",""
"passed","Tue Apr 16 16:02:12 UTC 2024","Tue Apr 16 16:02:25 UTC 2024","13262","","Wallet - Transaction History - General","","","","User can filter the transaction history Balance USD with transaction type Sell USD [MOBILE2-2939] | BETA-V3",""
"passed","Tue Apr 16 16:14:50 UTC 2024","Tue Apr 16 16:15:30 UTC 2024","39816","","Wallet - Transaction History - IDR","","","","User successfully redirected to IDR transaction detail page [MOBILE2-2684] | BETA-V3",""
"passed","Tue Apr 16 16:00:57 UTC 2024","Tue Apr 16 16:01:17 UTC 2024","20055","","Wallet - Transaction History - General","","","","User can filter the transaction history Balance IDR with status failed [MOBILE2-2932] | BETA-V3",""
"passed","Tue Apr 16 17:05:18 UTC 2024","Tue Apr 16 17:06:00 UTC 2024","41598","","Wallet Home","","","","User should be able to see Owned asset for US Stock when click US Stock tab [MOBILE2-2546] | BETA-V3",""
