"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 14 18:27:59 UTC 2024","Thu Mar 14 18:28:39 UTC 2024","40054","","Profile","","","","User should be able to see name and user ID on header [MOBILE2-1119]",""
"passed","Thu Mar 14 19:19:38 UTC 2024","Thu Mar 14 19:19:59 UTC 2024","20903","","Wallet Home","","","","User unsuccessfully access wallet page before login and can not see asset summary section [MOBILE2-2533 MOBILE2-2831]",""
"broken","Thu Mar 14 18:35:53 UTC 2024","Thu Mar 14 18:36:21 UTC 2024","28403","","Profile - Setup Withdrawal Account","","","","User should not be able to add same bank and account number [MOBILE2-1157]",""
"passed","Thu Mar 14 18:10:47 UTC 2024","Thu Mar 14 18:10:59 UTC 2024","11646","","Home","","","","User successfully redirected to live chat web view when click live chat entrypoint on homecircle [MOBILE2-1535]",""
"passed","Thu Mar 14 18:50:01 UTC 2024","Thu Mar 14 18:50:21 UTC 2024","20380","","Wallet - Crypto Wallet - Send Coin #2","","","","User cant send coin internal without input destination tag / memo id [MOBILE2-2524]",""
"broken","Thu Mar 14 18:25:45 UTC 2024","Thu Mar 14 18:25:47 UTC 2024","1691","","Profile - Phone Number","","","","User unsuccesfully add a phone number if phone number has been registered [MOBILE2-1751]",""
"broken","Thu Mar 14 19:11:22 UTC 2024","Thu Mar 14 19:11:50 UTC 2024","28234","","Wallet - IDR Wallet - Withdraw","","","","User can add withdraw method E-Wallet on Withdraw Method page [MOBILE2-2103]",""
"passed","Thu Mar 14 19:24:38 UTC 2024","Thu Mar 14 19:25:29 UTC 2024","51384","","Wallet Home","","","","User should be able to see Owned asset for Crypto when click Crypto tab [MOBILE2-2547]",""
"passed","Thu Mar 14 19:17:28 UTC 2024","Thu Mar 14 19:17:46 UTC 2024","18579","","Wallet - Transaction History - General","","","","User can unselect filter the transaction history Pending Order Crypto [MOBILE2-3034]",""
"passed","Thu Mar 14 18:54:27 UTC 2024","Thu Mar 14 18:54:45 UTC 2024","17521","","Wallet - IDR Wallet - Deposit","","","","(Non-VIP BCA) User successfully submit deposit ≥ 100mio with Virtual Account [MOBILE2-1767]",""
"broken","Thu Mar 14 18:28:39 UTC 2024","Thu Mar 14 18:31:39 UTC 2024","180007","","Profile","","","","User successfully redirected to mission page when click mission menu [MOBILE2-1672]",""
"passed","Thu Mar 14 19:18:11 UTC 2024","Thu Mar 14 19:18:29 UTC 2024","18392","","Wallet - Transaction History - General","","","","User can unselect filter the transaction history Pending Order Pocket [MOBILE2-3036]",""
"broken","Thu Mar 14 18:21:21 UTC 2024","Thu Mar 14 18:24:21 UTC 2024","180005","","Profile - Phone Number","","","","User successfully add phone number use a number with another country code [MOBILE2-128]",""
"passed","Thu Mar 14 19:09:34 UTC 2024","Thu Mar 14 19:10:23 UTC 2024","48920","","Wallet - IDR Wallet - Withdraw","","","","User can add new address to withdraw internal transfer [MOBILE2-2192]",""
"passed","Thu Mar 14 19:10:29 UTC 2024","Thu Mar 14 19:10:35 UTC 2024","5779","","Wallet - IDR Wallet - Withdraw","","","","User cant submit withdraw internal transfer when input own address [MOBILE2-2196]",""
"passed","Thu Mar 14 18:13:47 UTC 2024","Thu Mar 14 18:14:18 UTC 2024","30829","","Login","","","","User successfully sign in using 2FA [MOBILE2-283]",""
"passed","Thu Mar 14 19:00:50 UTC 2024","Thu Mar 14 19:01:45 UTC 2024","54636","","Wallet - IDR Wallet - Deposit","","","","User successfully see IDR Deposit Address and QR Code for Internal Transfer [MOBILE2-224]",""
"passed","Thu Mar 14 18:10:21 UTC 2024","Thu Mar 14 18:10:35 UTC 2024","14095","","Home","","","","User successfully redirected to rekuiz page when click rekuiz entrypoint on homecircle [MOBILE2-1533]",""
"passed","Thu Mar 14 18:40:40 UTC 2024","Thu Mar 14 18:40:57 UTC 2024","17171","","Wallet - Crypto Wallet - Receive Coin","","","","User successfully receive coins from external [MOBILE2-1622]",""
"passed","Thu Mar 14 19:04:43 UTC 2024","Thu Mar 14 19:05:41 UTC 2024","58141","","Wallet - IDR Wallet - Deposit","","","","User cant deposit IDR by Virtual Account with under minimum amount [MOBILE2-235]",""
"passed","Thu Mar 14 19:22:58 UTC 2024","Thu Mar 14 19:23:08 UTC 2024","10878","","Wallet Home","","","","User successfully redirected to portfolio page when click portfolio button [MOBILE2-2541]",""
"passed","Thu Mar 14 19:08:55 UTC 2024","Thu Mar 14 19:09:34 UTC 2024","38991","","Wallet - IDR Wallet - Withdraw","","","","User cant withdraw IDR when have phone number but unverified [MOBILE2-2092]",""
"passed","Thu Mar 14 19:10:35 UTC 2024","Thu Mar 14 19:10:53 UTC 2024","17616","","Wallet - IDR Wallet - Withdraw","","","","User unsuccessfully withdraw internal transfer with saving an address previously saved address [MOBILE2-2216]",""
"passed","Thu Mar 14 19:13:34 UTC 2024","Thu Mar 14 19:14:22 UTC 2024","48283","","Wallet - Transaction History - General","","","","User can see a list of all my transactions history [MOBILE2-2647]",""
