"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 30 16:50:48 UTC 2024","Tue Jan 30 16:51:11 UTC 2024","23640","","Wallet - Transaction History - General","","","","BETA-V3 User can filter the transaction history Balance IDR with select multiple transaction type and status [MOBILE2-2937]",""
"passed","Tue Jan 30 16:47:41 UTC 2024","Tue Jan 30 16:48:03 UTC 2024","22469","","Wallet - Transaction History - General","","","","BETA-V3 User can see empty state when no transaction on filter transaction history asset [MOBILE2-2656]",""
"passed","Tue Jan 30 17:06:19 UTC 2024","Tue Jan 30 17:06:43 UTC 2024","23848","","Wallet - Transaction History - US Stock","","","","BETA-V3 User can filter the transaction history  Stock with status failed [MOBILE2-3137]",""
"passed","Tue Jan 30 16:28:09 UTC 2024","Tue Jan 30 16:28:17 UTC 2024","8812","","Wallet - IDR Wallet","","","","BETA-V3 User successfully redirected to Withdraw page when click Withdraw [MOBILE2-2566]",""
"broken","Tue Jan 30 17:26:26 UTC 2024","Tue Jan 30 17:26:32 UTC 2024","6627","","Wallet - USD Wallet - Buy/Sell","","","","BETA-V3 User successfully sell USD from entry point USD page [MOBILE2-2620]",""
"broken","Tue Jan 30 17:29:04 UTC 2024","Tue Jan 30 17:29:40 UTC 2024","36065","","Wallet - USD Wallet","","","","BETA-V3 User should be able see last 10 transaction history on USD Card page [MOBILE2-2570]",""
"passed","Tue Jan 30 16:24:41 UTC 2024","Tue Jan 30 16:25:26 UTC 2024","44558","","Wallet - IDR Wallet - Deposit","","","","BETA User cant deposit IDR when doesnt have phone number and unverified [MOBILE2-190]",""
"broken","Tue Jan 30 17:14:46 UTC 2024","Tue Jan 30 17:15:22 UTC 2024","36254","","Wallet - Transaction History - USD","","","","BETA-V3 User can unselect filter the transaction history USD [MOBILE2-3089]",""
"passed","Tue Jan 30 16:55:19 UTC 2024","Tue Jan 30 16:55:31 UTC 2024","12358","","Wallet - Transaction History - General","","","","BETA-V3 User can filter the transaction history Asset US Stock with transaction type Stock Split & Reverse Split [MOBILE2-2966]",""
"passed","Tue Jan 30 16:54:31 UTC 2024","Tue Jan 30 16:54:51 UTC 2024","19500","","Wallet - Transaction History - General","","","","BETA-V3 User can filter the transaction history Asset Crypto with select multiple transaction type and status [MOBILE2-2962]",""
"passed","Tue Jan 30 17:04:15 UTC 2024","Tue Jan 30 17:04:38 UTC 2024","22477","","Wallet - Transaction History - US Stock","","","","BETA-V3 User can see empty state when no transaction on filter transaction history Stock [MOBILE2-3131]",""
