"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 12 21:15:42 UTC 2024","Fri Apr 12 21:16:41 UTC 2024","58996","","Wallet - Staking","","","","User should be able to see total stake [MOBILE2-1474 MOBILE2-2417 MOBILE2-2418 MOBILE2-1484 MOBILE2-2419 MOBILE2-2420] | PROD_ISS",""
"passed","Fri Apr 12 21:13:06 UTC 2024","Fri Apr 12 21:13:27 UTC 2024","21320","","Wallet Deposit IDR","","","","User successfully deposit IDR by E-Wallet (DANA) [MOBILE2-228 MOBILE2-183] | PROD_ISS",""
"passed","Fri Apr 12 21:19:44 UTC 2024","Fri Apr 12 21:20:26 UTC 2024","42560","","Wallet Home","","","","User should be able to see open order balance [MOBILE2-1583] | PROD_ISS",""
"passed","Fri Apr 12 21:04:28 UTC 2024","Fri Apr 12 21:04:55 UTC 2024","26832","","Deeplink Reset Password","","","","User access deeplink reset password | PROD_ISS",""
"passed","Fri Apr 12 21:16:41 UTC 2024","Fri Apr 12 21:17:11 UTC 2024","30289","","Wallet - Staking","","","","User successfully redirected to coin stake form when click stake button on coin [MOBILE2-1481 MOBILE2-1486 MOBILE2-1495] | PROD_ISS",""
"passed","Fri Apr 12 21:17:44 UTC 2024","Fri Apr 12 21:18:05 UTC 2024","21530","","Wallet - Staking","","","","User should be able to see the rewards distribution when have a staked coin and past the reward payout period [MOBILE2-1510] | PROD_ISS",""
"passed","Fri Apr 12 21:18:56 UTC 2024","Fri Apr 12 21:19:36 UTC 2024","39440","","Wallet Home","","","","User successfully redirected to transaction history page when click history icon [MOBILE2-649] | PROD_ISS",""
"passed","Fri Apr 12 21:17:11 UTC 2024","Fri Apr 12 21:17:44 UTC 2024","33138","","Wallet - Staking","","","","User shoud be able see total stake at coin detail page [MOBILE2-1509 MOBILE2-1497 MOBILE2-1504 MOBILE2-1505] | PROD_ISS",""
"passed","Fri Apr 12 21:10:11 UTC 2024","Fri Apr 12 21:10:30 UTC 2024","19028","","Wallet Deposit IDR","","","","(VIP-BCA) User successfully submit deposit with Virtual Account [MOBILE2-1765] | PROD_ISS",""
"passed","Fri Apr 12 21:13:48 UTC 2024","Fri Apr 12 21:14:10 UTC 2024","21545","","Wallet Deposit IDR","","","","User successfully deposit IDR by E-Wallet (SHOPEEPAY) [MOBILE2-232] | PROD_ISS",""
"passed","Fri Apr 12 21:13:27 UTC 2024","Fri Apr 12 21:13:48 UTC 2024","20870","","Wallet Deposit IDR","","","","User successfully deposit IDR by E-Wallet (LINKAJA) [MOBILE2-231] | PROD_ISS",""
"passed","Fri Apr 12 21:06:20 UTC 2024","Fri Apr 12 21:07:29 UTC 2024","68096","","Market - Price Alert","","","","User successfully set price alert [MOBILE2-2633] | PROD_ISS",""
"passed","Fri Apr 12 21:11:35 UTC 2024","Fri Apr 12 21:12:28 UTC 2024","52769","","Wallet Deposit IDR","","","","(Non-VIP BCA) User successfully submit deposit ≥ 100mio with Transfer Bank [MOBILE2-1766] | PROD_ISS",""
"passed","Fri Apr 12 21:10:30 UTC 2024","Fri Apr 12 21:11:35 UTC 2024","65405","","Wallet Deposit IDR","","","","(Non-VIP BCA) User successfully submit deposit Rp10.000 to 49,999mio with BSS VA [MOBILE2-1707] | PROD_ISS",""
"passed","Fri Apr 12 21:20:32 UTC 2024","Fri Apr 12 21:20:38 UTC 2024","6060","","Wallet Home","","","","User successfully redirected to withdraw page when click withdraw idr [MOBILE2-1088] | PROD_ISS",""
"passed","Fri Apr 12 21:20:38 UTC 2024","Fri Apr 12 21:20:47 UTC 2024","8849","","Wallet Home","","","","User successfully redirected to idr transaction history page when click history icon [MOBILE2-1585] | PROD_ISS",""
"passed","Fri Apr 12 21:19:36 UTC 2024","Fri Apr 12 21:19:44 UTC 2024","7958","","Wallet Home","","","","User successfully redirected to total IDR balance when click balance [MOBILE2-1075 MOBILE2-1080 MOBILE2-1579 MOBILE2-2337] | PROD_ISS",""
"passed","Fri Apr 12 21:12:28 UTC 2024","Fri Apr 12 21:12:46 UTC 2024","18642","","Wallet Deposit IDR","","","","(Non-VIP BCA) User successfully submit deposit ≥ 100mio with Virtual Account [MOBILE2-1767] | PROD_ISS",""
"passed","Fri Apr 12 21:20:26 UTC 2024","Fri Apr 12 21:20:32 UTC 2024","5580","","Wallet Home","","","","User successfully redirected to transfer from page when click deposit idr [MOBILE2-1087] | PROD_ISS",""
"passed","Fri Apr 12 21:08:38 UTC 2024","Fri Apr 12 21:10:11 UTC 2024","92871","","Wallet Deposit IDR","","","","(VIP-BCA) User successfully submit deposit with Transfer Bank and see the status deposit via Bank Transfer is waiting for payment [MOBILE2-1705 MOBILE2-175] | PROD_ISS",""
"passed","Fri Apr 12 21:12:46 UTC 2024","Fri Apr 12 21:13:06 UTC 2024","19775","","Wallet Deposit IDR","","","","User successfully deposit IDR by E-Wallet (OVO) and see the status deposit via e-wallet is waiting for payment [MOBILE2-227] | PROD_ISS",""
