"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jan 15 00:48:39 UTC 2024","Mon Jan 15 00:49:23 UTC 2024","43466","","Wallet - IDR Wallet - Deposit","","","","User successfully see IDR Deposit Address and QR Code for Internal Transfer [MOBILE2-224]",""
"passed","Mon Jan 15 00:40:45 UTC 2024","Mon Jan 15 00:41:27 UTC 2024","41784","","Wallet - IDR Wallet - Deposit","","","","(VIP-BCA) User successfully submit deposit with Virtual Account [MOBILE2-1765]",""
"passed","Mon Jan 15 00:09:09 UTC 2024","Mon Jan 15 00:09:22 UTC 2024","12258","","Home Non-login","","","","User can skip welcome screen [MOBILE2-1381]",""
"passed","Mon Jan 15 01:11:47 UTC 2024","Mon Jan 15 01:12:19 UTC 2024","32231","","Wallet Home","","","","User successfully access wallet page from Wallet Navigation Bar [MOBILE2-2532 MOBILE2-2539 MOBILE2-2540]",""
"passed","Mon Jan 15 00:29:40 UTC 2024","Mon Jan 15 00:29:43 UTC 2024","2923","","Profile","","","","User successfully redirected to live chat web view page when click live chat menu [MOBILE2-1051]",""
"passed","Mon Jan 15 00:32:25 UTC 2024","Mon Jan 15 00:32:58 UTC 2024","33115","","Sign Up","","","","User can not sign up if it doesnt meet all validation password [MOBILE2-15]",""
"broken","Mon Jan 15 00:11:58 UTC 2024","Mon Jan 15 00:12:57 UTC 2024","58816","","Home","","","","User can successfully redirected to the Info & Promo webview page when click “See all” CTA and click a banner [MOBILE2-349 MOBILE2-350]",""
"passed","Mon Jan 15 00:53:31 UTC 2024","Mon Jan 15 00:53:38 UTC 2024","7350","","Wallet - IDR Wallet","","","","User should be able see balance breakdown IDR [MOBILE2-2552]",""
"passed","Mon Jan 15 00:44:55 UTC 2024","Mon Jan 15 00:45:25 UTC 2024","30103","","Wallet - IDR Wallet - Deposit","","","","(Non-VIP MANDIRI) User successfully submit deposit 25mio to 49,999mio with BSS VA [MOBILE2-1770]",""
"broken","Mon Jan 15 00:22:53 UTC 2024","Mon Jan 15 00:23:36 UTC 2024","42803","","Profile - My Account","","","","User can see detail information account (Verified Account) [MOBILE2-1054]",""
"passed","Mon Jan 15 00:29:30 UTC 2024","Mon Jan 15 00:29:33 UTC 2024","2813","","Profile","","","","User successfully redirected to mission page when click mission menu [MOBILE2-1672]",""
"passed","Mon Jan 15 00:29:33 UTC 2024","Mon Jan 15 00:29:36 UTC 2024","3644","","Profile","","","","User successfully redirected to set up withdrawal account page when click set up withdrawal account menu [MOBILE2-1049]",""
"broken","Mon Jan 15 00:17:35 UTC 2024","Mon Jan 15 00:18:54 UTC 2024","79165","","Profile - Change Password","","","","User successfully change and create new password [MOBILE2-2356]",""
"broken","Mon Jan 15 00:38:37 UTC 2024","Mon Jan 15 00:39:20 UTC 2024","42730","","Wallet - Crypto Wallet - Send Coin","","","","User unsuccessfully send coin when input amount coin above the maximum quantity to send [MOBILE2-2281]",""
"broken","Mon Jan 15 00:50:05 UTC 2024","Mon Jan 15 00:50:48 UTC 2024","42727","","Wallet - IDR Wallet - Deposit","","","","User cant deposit IDR by bank transfer with under minimum amount [MOBILE2-233]",""
"broken","Mon Jan 15 00:50:48 UTC 2024","Mon Jan 15 00:51:31 UTC 2024","42783","","Wallet - IDR Wallet - Deposit","","","","User cant deposit IDR by Virtual Account with under minimum amount [MOBILE2-235]",""
"broken","Mon Jan 15 00:57:03 UTC 2024","Mon Jan 15 00:57:46 UTC 2024","42628","","Wallet - IDR Wallet - Withdraw","","","","User cant withdraw IDR when have phone number but unverified [MOBILE2-2092]",""
"broken","Mon Jan 15 00:55:46 UTC 2024","Mon Jan 15 00:57:03 UTC 2024","76844","","Wallet - IDR Wallet - Withdraw","","","","User cant withdraw IDR when doesnt have phone number and unverified [MOBILE2-2091]",""
"passed","Mon Jan 15 00:16:48 UTC 2024","Mon Jan 15 00:17:27 UTC 2024","39446","","Profile - Change Password","","","","User cant change password if it doesnt meet all validation password [MOBILE2-1198]",""
"passed","Mon Jan 15 00:53:38 UTC 2024","Mon Jan 15 00:53:46 UTC 2024","8092","","Wallet - IDR Wallet","","","","User successfully redirected to Deposit page when click Deposit [MOBILE2-2565]",""
"broken","Mon Jan 15 00:58:28 UTC 2024","Mon Jan 15 00:59:11 UTC 2024","42620","","Wallet - IDR Wallet - Withdraw","","","","User cant submit withdraw internal transfer when input invalid address [MOBILE2-2195]",""
"passed","Mon Jan 15 00:10:45 UTC 2024","Mon Jan 15 00:10:56 UTC 2024","11404","","Home","","","","Users successfully redirected to market page when click ""See All"" [MOBILE2-332 MOBILE2-1529]",""
"broken","Mon Jan 15 00:39:20 UTC 2024","Mon Jan 15 00:40:03 UTC 2024","43506","","Wallet - Crypto Wallet - Send Coin","","","","User unsuccessfully send coin when input amount coin above the available coin balance [MOBILE2-2282]",""
"passed","Mon Jan 15 00:43:27 UTC 2024","Mon Jan 15 00:44:00 UTC 2024","32137","","Wallet - IDR Wallet - Deposit","","","","(VIP-MANDIRI) User successfully submit deposit 25mio to 99,999mio / ≥ 100 mio with Virtual Account [MOBILE2-1712]",""
"passed","Mon Jan 15 00:53:46 UTC 2024","Mon Jan 15 00:53:55 UTC 2024","8401","","Wallet - IDR Wallet","","","","User successfully redirected to Withdraw page when click Withdraw [MOBILE2-2566]",""
"passed","Mon Jan 15 00:34:15 UTC 2024","Mon Jan 15 00:34:33 UTC 2024","17529","","Wallet - Crypto Wallet - Receive Coin","","","","User successfully receive coins from external [MOBILE2-1622]",""
"passed","Mon Jan 15 00:42:13 UTC 2024","Mon Jan 15 00:42:30 UTC 2024","16863","","Wallet - IDR Wallet - Deposit","","","","(Non-VIP BCA) User successfully submit deposit ≥ 100mio with Virtual Account [MOBILE2-1767]",""
"broken","Mon Jan 15 00:51:31 UTC 2024","Mon Jan 15 00:52:14 UTC 2024","43093","","Wallet - IDR Wallet - Deposit","","","","User cant deposit by E-Wallet (DANA) with above the maximum deposit limit [MOBILE2-242]",""
"broken","Mon Jan 15 00:36:35 UTC 2024","Mon Jan 15 00:37:54 UTC 2024","79462","","Wallet - Crypto Wallet - Send Coin","","","","User cant send coin when doesnt have phone number and unverified [MOBILE2-2227]",""
"passed","Mon Jan 15 00:32:02 UTC 2024","Mon Jan 15 00:32:07 UTC 2024","4980","","Sign Up","","","","User can click sign up [MOBILE2-1379]",""
"passed","Mon Jan 15 00:10:07 UTC 2024","Mon Jan 15 00:10:45 UTC 2024","37188","","Home","","","","User should see section favorite, market, and learning hub [MOBILE2-334 MOBILE2-343 MOBILE2-344]",""
"broken","Mon Jan 15 01:04:49 UTC 2024","Mon Jan 15 01:06:13 UTC 2024","83826","","Wallet - USD Wallet","","","","User should be able see total balance of USD owned [MOBILE2-2568]",""
"broken","Mon Jan 15 01:01:19 UTC 2024","Mon Jan 15 01:02:02 UTC 2024","42696","","Wallet - IDR Wallet - Withdraw","","","","User can add withdraw method E-Wallet on Withdraw Method page [MOBILE2-2103]",""
"broken","Mon Jan 15 01:06:13 UTC 2024","Mon Jan 15 01:07:10 UTC 2024","56631","","Wallet - USD Wallet","","","","User should be able see balance breakdown USD [MOBILE2-2569]",""
"broken","Mon Jan 15 00:18:54 UTC 2024","Mon Jan 15 00:19:37 UTC 2024","42631","","Profile - Change Password","","","","User successfully change and create new password (using 2FA) [MOBILE2-2357]",""
"broken","Mon Jan 15 00:47:57 UTC 2024","Mon Jan 15 00:48:39 UTC 2024","42694","","Wallet - IDR Wallet - Deposit","","","","User cant deposit IDR when have phone number but unverified [MOBILE2-188]",""
"passed","Mon Jan 15 00:44:00 UTC 2024","Mon Jan 15 00:44:55 UTC 2024","55145","","Wallet - IDR Wallet - Deposit","","","","(Non-VIP MANDIRI) User successfully submit deposit Rp10.000 to 24,999mio with Mandiri VA [MOBILE2-1771]",""
"broken","Mon Jan 15 00:23:36 UTC 2024","Mon Jan 15 00:24:18 UTC 2024","42696","","Profile - My Account","","","","User successfully redirected to live chat web view page when click live chat here link [MOBILE2-1137]",""
"passed","Mon Jan 15 00:45:41 UTC 2024","Mon Jan 15 00:45:56 UTC 2024","14846","","Wallet - IDR Wallet - Deposit","","","","(Non-VIP) User successfully submit deposit with virtual account except BCA/Mandiri [MOBILE2-1774]",""
"broken","Mon Jan 15 00:27:12 UTC 2024","Mon Jan 15 00:28:28 UTC 2024","76604","","Profile - PIN","","","","User can setup PIN for security at reku account [MOBILE2-1211]",""
"passed","Mon Jan 15 00:14:11 UTC 2024","Mon Jan 15 00:14:28 UTC 2024","17159","","Forgot Password","","","","User should be able to see the suspend page if they submit a forgot password to an e-mail that is being suspended [MOBILE2-1652]",""
"passed","Mon Jan 15 00:29:46 UTC 2024","Mon Jan 15 00:29:49 UTC 2024","3126","","Profile","","","","User successfully redirected to referrals page when click referral program menu [MOBILE2-1131]",""
"passed","Mon Jan 15 01:11:10 UTC 2024","Mon Jan 15 01:11:18 UTC 2024","8284","","Wallet Home","","","","User unsuccessfully access wallet page before login and can not see asset summary section [MOBILE2-2533 MOBILE2-2831]",""
