"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 26 21:08:23 UTC 2024","Tue Mar 26 21:09:54 UTC 2024","91273","","Wallet Deposit IDR","","","","(VIP-BCA) User successfully submit deposit with Transfer Bank and see the status deposit via Bank Transfer is waiting for payment [MOBILE2-1705 MOBILE2-175] | PROD_ISS",""
"passed","Tue Mar 26 21:15:44 UTC 2024","Tue Mar 26 21:16:26 UTC 2024","42313","","Wallet Home","","","","User should be able to see open order balance [MOBILE2-1583] | PROD_ISS",""
"passed","Tue Mar 26 21:15:36 UTC 2024","Tue Mar 26 21:15:44 UTC 2024","7603","","Wallet Home","","","","User successfully redirected to total IDR balance when click balance [MOBILE2-1075 MOBILE2-1080 MOBILE2-1579 MOBILE2-2337] | PROD_ISS",""
"passed","Tue Mar 26 21:13:34 UTC 2024","Tue Mar 26 21:13:54 UTC 2024","20352","","Wallet Deposit IDR","","","","User successfully deposit IDR by E-Wallet (SHOPEEPAY) [MOBILE2-232] | PROD_ISS",""
"passed","Tue Mar 26 21:16:32 UTC 2024","Tue Mar 26 21:16:38 UTC 2024","6034","","Wallet Home","","","","User successfully redirected to withdraw page when click withdraw idr [MOBILE2-1088] | PROD_ISS",""
"passed","Tue Mar 26 21:12:51 UTC 2024","Tue Mar 26 21:13:13 UTC 2024","21629","","Wallet Deposit IDR","","","","User successfully deposit IDR by E-Wallet (DANA) [MOBILE2-228 MOBILE2-183] | PROD_ISS",""
"passed","Tue Mar 26 21:16:38 UTC 2024","Tue Mar 26 21:16:47 UTC 2024","9072","","Wallet Home","","","","User successfully redirected to idr transaction history page when click history icon [MOBILE2-1585] | PROD_ISS",""
"passed","Tue Mar 26 21:11:19 UTC 2024","Tue Mar 26 21:12:12 UTC 2024","52995","","Wallet Deposit IDR","","","","(Non-VIP BCA) User successfully submit deposit ≥ 100mio with Transfer Bank [MOBILE2-1766] | PROD_ISS",""
"passed","Tue Mar 26 21:12:12 UTC 2024","Tue Mar 26 21:12:31 UTC 2024","18823","","Wallet Deposit IDR","","","","(Non-VIP BCA) User successfully submit deposit ≥ 100mio with Virtual Account [MOBILE2-1767] | PROD_ISS",""
"broken","Tue Mar 26 21:05:59 UTC 2024","Tue Mar 26 21:07:11 UTC 2024","72291","","Market - Price Alert","","","","User successfully set price alert [MOBILE2-2633] | PROD_ISS",""
"passed","Tue Mar 26 21:10:13 UTC 2024","Tue Mar 26 21:11:19 UTC 2024","65777","","Wallet Deposit IDR","","","","(Non-VIP BCA) User successfully submit deposit Rp10.000 to 49,999mio with BSS VA [MOBILE2-1707] | PROD_ISS",""
"passed","Tue Mar 26 21:14:56 UTC 2024","Tue Mar 26 21:15:36 UTC 2024","40569","","Wallet Home","","","","User successfully redirected to transaction history page when click history icon [MOBILE2-649] | PROD_ISS",""
"passed","Tue Mar 26 21:04:28 UTC 2024","Tue Mar 26 21:04:59 UTC 2024","31363","","Deeplink Reset Password","","","","User access deeplink reset password | PROD_ISS",""
"passed","Tue Mar 26 21:12:31 UTC 2024","Tue Mar 26 21:12:51 UTC 2024","20556","","Wallet Deposit IDR","","","","User successfully deposit IDR by E-Wallet (OVO) and see the status deposit via e-wallet is waiting for payment [MOBILE2-227] | PROD_ISS",""
"passed","Tue Mar 26 21:16:26 UTC 2024","Tue Mar 26 21:16:32 UTC 2024","5477","","Wallet Home","","","","User successfully redirected to transfer from page when click deposit idr [MOBILE2-1087] | PROD_ISS",""
"passed","Tue Mar 26 21:13:13 UTC 2024","Tue Mar 26 21:13:34 UTC 2024","20763","","Wallet Deposit IDR","","","","User successfully deposit IDR by E-Wallet (LINKAJA) [MOBILE2-231] | PROD_ISS",""
"passed","Tue Mar 26 21:09:54 UTC 2024","Tue Mar 26 21:10:13 UTC 2024","19067","","Wallet Deposit IDR","","","","(VIP-BCA) User successfully submit deposit with Virtual Account [MOBILE2-1765] | PROD_ISS",""
