"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 01 14:28:46 UTC 2024","Mon Apr 01 14:29:39 UTC 2024","52854","","Home","","","","BETA-V3 User should see coachmark and section favorite, market, learning hub [MOBILE2-334 MOBILE2-343 MOBILE2-344]",""
"passed","Mon Apr 01 15:37:55 UTC 2024","Mon Apr 01 15:38:07 UTC 2024","11491","","Wallet - IDR Wallet","","","","BETA-V3 User successfully redirected to transaction history IDR page when click see all [MOBILE2-2560]",""
"passed","Mon Apr 01 14:07:20 UTC 2024","Mon Apr 01 14:07:35 UTC 2024","14924","","Crypto - Market","","","","BETA-V3 User can't search asset crypto when the coin isn't in the list [MOBILE2-3588]",""
"passed","Mon Apr 01 16:20:35 UTC 2024","Mon Apr 01 16:20:54 UTC 2024","19618","","Wallet - Transaction History - IDR","","","","BETA-V3 User can filter the transaction history IDR with transaction type withdraw [MOBILE2-3039]",""
"broken","Mon Apr 01 14:10:21 UTC 2024","Mon Apr 01 14:11:06 UTC 2024","45595","","Crypto - Trading History","","","","BETA-V3 User successfully redirected to order history crypto transaction detail page [MOBILE2-2763]",""
"passed","Mon Apr 01 16:51:50 UTC 2024","Mon Apr 01 16:52:29 UTC 2024","38203","","Wallet - USD Wallet - Buy/Sell","","","","BETA-V3 User successfully sell USD from entry point USD page [MOBILE2-2620]",""
"broken","Mon Apr 01 16:55:39 UTC 2024","Mon Apr 01 16:56:17 UTC 2024","38170","","Wallet - USD - Transaction Detail","","","","BETA-V3 User should be able to see transaction detail of Sell USD [MOBILE2-3317]",""
"broken","Mon Apr 01 15:55:23 UTC 2024","Mon Apr 01 15:55:58 UTC 2024","35734","","Wallet - Transaction History - Crypto","","","","BETA-V3 User can filter the transaction history Crypto with status success [MOBILE2-3112]",""
"passed","Mon Apr 01 15:22:32 UTC 2024","Mon Apr 01 15:23:46 UTC 2024","74127","","Wallet - IDR Wallet - Deposit","","","","BETA-V3 (VIP-BCA) User successfully submit deposit with Transfer Bank and see the status deposit via Bank Transfer is waiting for payment [MOBILE2-1705 MOBILE2-175]",""
"broken","Mon Apr 01 15:50:37 UTC 2024","Mon Apr 01 15:51:46 UTC 2024","68493","","Wallet - Transaction History - Crypto","","","","BETA-V3 User successfully redirected to Crypto wallet transaction history [MOBILE2-3103]",""
