"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 21 19:17:15 UTC 2024","Wed Feb 21 19:17:59 UTC 2024","44053","","Wallet Home","","","","User successfully access wallet page from Wallet Navigation Bar [MOBILE2-2532 MOBILE2-2539 MOBILE2-2540]",""
"passed","Wed Feb 21 18:11:48 UTC 2024","Wed Feb 21 18:12:04 UTC 2024","16089","","Forgot Password","","","","User successfully submit forget/reset password [MOBILE2-310]",""
"passed","Wed Feb 21 18:28:58 UTC 2024","Wed Feb 21 18:29:01 UTC 2024","3436","","Profile","","","","User successfully redirected to live chat web view page when click live chat menu [MOBILE2-1051]",""
"broken","Wed Feb 21 19:08:54 UTC 2024","Wed Feb 21 19:09:22 UTC 2024","27809","","Wallet - IDR Wallet - Withdraw","","","","User can add withdraw method E-Wallet on Withdraw Method page [MOBILE2-2103]",""
"passed","Wed Feb 21 19:16:30 UTC 2024","Wed Feb 21 19:17:15 UTC 2024","45674","","Wallet Home","","","","Unverified user can not see asset summary section [MOBILE2-2630]",""
"passed","Wed Feb 21 18:57:49 UTC 2024","Wed Feb 21 18:58:39 UTC 2024","49865","","Wallet - IDR Wallet - Deposit","","","","User cant deposit IDR when have phone number but unverified [MOBILE2-188]",""
"passed","Wed Feb 21 18:38:21 UTC 2024","Wed Feb 21 18:39:07 UTC 2024","45718","","Wallet - Crypto Wallet - Send Coin","","","","User cant send coin when have phone number but unverified [MOBILE2-2226]",""
"passed","Wed Feb 21 18:24:46 UTC 2024","Wed Feb 21 18:25:05 UTC 2024","18860","","Profile - Phone Number","","","","User successfully add phone number use a number with another country code [MOBILE2-128]",""
"broken","Wed Feb 21 18:42:24 UTC 2024","Wed Feb 21 18:45:24 UTC 2024","180008","","Wallet - Crypto Wallet - Send Coin","","","","User cant submit send coin internal/external when input own address [MOBILE2-2249]",""
"broken","Wed Feb 21 19:09:46 UTC 2024","Wed Feb 21 19:10:09 UTC 2024","23478","","Wallet - IDR Wallet - Withdraw","","","","User unsuccessfully withdraw Bank transfer/Ewallet/Internal Transfer when input amount above the maximum withdraw [MOBILE2-2204]",""
"passed","Wed Feb 21 19:11:47 UTC 2024","Wed Feb 21 19:12:04 UTC 2024","16139","","Wallet - Transaction History - General","","","","User can see total filter notification in the icon filter and reset filter transaction history tab Balance [MOBILE2-3023 MOBILE2-2767]",""
"passed","Wed Feb 21 18:10:04 UTC 2024","Wed Feb 21 18:10:15 UTC 2024","10904","","Home","","","","User successfully redirected to live chat web view when click live chat entrypoint on homecircle [MOBILE2-1535]",""
"passed","Wed Feb 21 19:13:57 UTC 2024","Wed Feb 21 19:14:15 UTC 2024","18144","","Wallet - Transaction History - General","","","","User can unselect filter the transaction history Asset Pocket [MOBILE2-3033]",""
"passed","Wed Feb 21 19:17:59 UTC 2024","Wed Feb 21 19:18:07 UTC 2024","7747","","Wallet Home","","","","User successfully redirected to transaction history page when click history icon [MOBILE2-2538 MOBILE2-2646]",""
"passed","Wed Feb 21 18:29:01 UTC 2024","Wed Feb 21 18:29:04 UTC 2024","2566","","Profile","","","","User successfully redirected to help center page when click help center menu [MOBILE2-1052]",""
"passed","Wed Feb 21 18:56:24 UTC 2024","Wed Feb 21 18:56:41 UTC 2024","17645","","Wallet - IDR Wallet - Deposit","","","","(Non-VIP MANDIRI) User successfully submit deposit ≥ 100mio with Virtual Account [MOBILE2-1773]",""
"passed","Wed Feb 21 18:14:52 UTC 2024","Wed Feb 21 18:15:46 UTC 2024","53372","","Profile - Change Password","","","","User cant change password if it doesnt meet all validation password [MOBILE2-1198]",""
"passed","Wed Feb 21 19:01:33 UTC 2024","Wed Feb 21 19:01:45 UTC 2024","11670","","Wallet - IDR Wallet - Deposit","","","","User cant deposit by E-Wallet (OVO) with under minimum amount [MOBILE2-234]",""
"passed","Wed Feb 21 18:34:53 UTC 2024","Wed Feb 21 18:35:27 UTC 2024","34339","","Sign Up","","","","User can not sign up if it doesnt meet all validation password [MOBILE2-15]",""
"passed","Wed Feb 21 18:40:46 UTC 2024","Wed Feb 21 18:41:07 UTC 2024","20128","","Wallet - Crypto Wallet - Send Coin","","","","User unsuccessfully send coin when input amount coin above the available coin balance [MOBILE2-2282]",""
"passed","Wed Feb 21 19:11:01 UTC 2024","Wed Feb 21 19:11:47 UTC 2024","46674","","Wallet - Transaction History - General","","","","User can see a list of all my transactions history [MOBILE2-2647]",""
"passed","Wed Feb 21 18:41:19 UTC 2024","Wed Feb 21 18:41:34 UTC 2024","14582","","Wallet - Crypto Wallet - Send Coin","","","","User cant search by coin name, when the coin is not in the list of coins that have coin balance [MOBILE2-2221]",""
"broken","Wed Feb 21 18:59:26 UTC 2024","Wed Feb 21 19:00:12 UTC 2024","45761","","Wallet - IDR Wallet - Deposit","","","","User successfully deposit IDR by E-Wallet (OVO) and see the status deposit via e-wallet is waiting for payment [MOBILE2-227]",""
"broken","Wed Feb 21 18:32:44 UTC 2024","Wed Feb 21 18:33:12 UTC 2024","27494","","Profile - Setup Withdrawal Account","","","","User successfully save and delete e-wallet number [MOBILE2-1164 MOBILE2-1179]",""
"broken","Wed Feb 21 18:47:08 UTC 2024","Wed Feb 21 18:47:14 UTC 2024","6462","","Wallet - Crypto Wallet - Send Coin","","","","User unsuccessfully send coin internal/external with saving an address previously saved address [MOBILE2-2253]",""
"broken","Wed Feb 21 19:09:22 UTC 2024","Wed Feb 21 19:09:46 UTC 2024","23512","","Wallet - IDR Wallet - Withdraw","","","","User unsuccessfully withdraw internal transfer/Bank transfer/Ewallet when input amount is under minimum [MOBILE2-2203]",""
"passed","Wed Feb 21 18:22:31 UTC 2024","Wed Feb 21 18:23:07 UTC 2024","35986","","Profile - My Account","","","","User can see detail information account (Verified Account) [MOBILE2-1054]",""
"passed","Wed Feb 21 18:41:50 UTC 2024","Wed Feb 21 18:42:06 UTC 2024","15257","","Wallet - Crypto Wallet - Send Coin","","","","User cant send coin when list of coins that have coin balance status disable [MOBILE2-2236]",""
"passed","Wed Feb 21 18:53:31 UTC 2024","Wed Feb 21 18:54:05 UTC 2024","33650","","Wallet - IDR Wallet - Deposit","","","","(VIP-MANDIRI) User successfully submit deposit 25mio to 99,999mio / ≥ 100 mio with Virtual Account [MOBILE2-1712]",""
"passed","Wed Feb 21 19:01:45 UTC 2024","Wed Feb 21 19:02:35 UTC 2024","50322","","Wallet - IDR Wallet - Deposit","","","","User cant deposit IDR by bank transfer with under minimum amount [MOBILE2-233]",""
"passed","Wed Feb 21 19:12:04 UTC 2024","Wed Feb 21 19:12:21 UTC 2024","17277","","Wallet - Transaction History - General","","","","User can see total filter notification in the icon filter and reset filter transaction history tab Asset [MOBILE2-3024 MOBILE2-2766]",""
"passed","Wed Feb 21 18:39:07 UTC 2024","Wed Feb 21 18:40:11 UTC 2024","64303","","Wallet - Crypto Wallet - Send Coin","","","","User unsuccessfully send coin when input amount coin is under minimum [MOBILE2-2277]",""
"passed","Wed Feb 21 19:10:09 UTC 2024","Wed Feb 21 19:10:17 UTC 2024","8090","","Wallet - IDR Wallet - Withdraw","","","","User unsuccessfully withdraw internal transfer/Bank transfer/Ewallet when input amount above available balance [MOBILE2-2205]",""
"passed","Wed Feb 21 18:13:07 UTC 2024","Wed Feb 21 18:13:36 UTC 2024","28407","","Login","","","","User successfully sign in using 2FA [MOBILE2-283]",""
"broken","Wed Feb 21 18:51:41 UTC 2024","Wed Feb 21 18:52:59 UTC 2024","78335","","Wallet - IDR Wallet - Deposit","","","","(VIP-MANDIRI) User successfully submit deposit with Transfer Bank [MOBILE2-1768]",""
"passed","Wed Feb 21 18:56:41 UTC 2024","Wed Feb 21 18:56:55 UTC 2024","13891","","Wallet - IDR Wallet - Deposit","","","","(Non-VIP) User successfully submit deposit with virtual account except BCA/Mandiri [MOBILE2-1774]",""
"passed","Wed Feb 21 18:58:39 UTC 2024","Wed Feb 21 18:59:26 UTC 2024","47325","","Wallet - IDR Wallet - Deposit","","","","User successfully see IDR Deposit Address and QR Code for Internal Transfer [MOBILE2-224]",""
"passed","Wed Feb 21 18:55:12 UTC 2024","Wed Feb 21 18:55:43 UTC 2024","30253","","Wallet - IDR Wallet - Deposit","","","","(Non-VIP MANDIRI) User successfully submit deposit 25mio to 49,999mio with BSS VA [MOBILE2-1770]",""
"passed","Wed Feb 21 18:42:06 UTC 2024","Wed Feb 21 18:42:24 UTC 2024","18274","","Wallet - Crypto Wallet - Send Coin","","","","User cant submit send coin internal/external when input invalid address [MOBILE2-2247]",""
"passed","Wed Feb 21 19:14:51 UTC 2024","Wed Feb 21 19:15:07 UTC 2024","15941","","Wallet - Transaction History - General","","","","User can unselect filter the transaction history Pending Order Pocket [MOBILE2-3036]",""
"passed","Wed Feb 21 18:12:04 UTC 2024","Wed Feb 21 18:12:22 UTC 2024","18265","","Forgot Password","","","","User should be able to see the suspend page if they submit a forgot password to an e-mail that is being suspended [MOBILE2-1652]",""
"passed","Wed Feb 21 18:28:55 UTC 2024","Wed Feb 21 18:28:58 UTC 2024","3056","","Profile","","","","User successfully redirected to security page when click security menu [MOBILE2-1050]",""
"passed","Wed Feb 21 18:10:15 UTC 2024","Wed Feb 21 18:11:00 UTC 2024","45343","","Home","","","","User can successfully redirected to the Info & Promo webview page when click “See all” CTA and click a banner [MOBILE2-349 MOBILE2-350]",""
"broken","Wed Feb 21 18:36:09 UTC 2024","Wed Feb 21 18:37:18 UTC 2024","68970","","Wallet - Crypto Wallet - Receive Coin","","","","User successfully receive coins from Internal [MOBILE2-1621]",""
"passed","Wed Feb 21 19:12:21 UTC 2024","Wed Feb 21 19:12:38 UTC 2024","16881","","Wallet - Transaction History - General","","","","User can see total filter notification in the icon filter and reset filter transaction history tab Pending Order [MOBILE2-3026 MOBILE2-3014]",""
"passed","Wed Feb 21 19:16:09 UTC 2024","Wed Feb 21 19:16:30 UTC 2024","20584","","Wallet Home","","","","User unsuccessfully access wallet page before login and can not see asset summary section [MOBILE2-2533 MOBILE2-2831]",""
"passed","Wed Feb 21 18:37:18 UTC 2024","Wed Feb 21 18:37:35 UTC 2024","16880","","Wallet - Crypto Wallet - Receive Coin","","","","User successfully receive coins from external [MOBILE2-1622]",""
"passed","Wed Feb 21 18:26:36 UTC 2024","Wed Feb 21 18:27:29 UTC 2024","52682","","Profile - PIN","","","","User can setup PIN for security at reku account [MOBILE2-1211]",""
"passed","Wed Feb 21 19:00:38 UTC 2024","Wed Feb 21 19:01:05 UTC 2024","26679","","Wallet - IDR Wallet - Deposit","","","","User successfully deposit IDR by E-Wallet (LINKAJA) [MOBILE2-231]",""
"passed","Wed Feb 21 19:19:37 UTC 2024","Wed Feb 21 19:20:18 UTC 2024","40148","","Wallet Home","","","","User should be able to see IDR, USD, Crypto, US Stocks card on the Wallet Card Carousel section [MOBILE2-2542 MOBILE2-2543 MOBILE2-2544 MOBILE2-2545]",""
"passed","Wed Feb 21 19:13:16 UTC 2024","Wed Feb 21 19:13:37 UTC 2024","21104","","Wallet - Transaction History - General","","","","User can unselect filter the transaction history Asset Crypto [MOBILE2-3030]",""
"passed","Wed Feb 21 18:25:05 UTC 2024","Wed Feb 21 18:25:33 UTC 2024","27962","","Profile - Phone Number","","","","User successfully add phone number using old phone number [MOBILE2-130]",""
"passed","Wed Feb 21 19:01:05 UTC 2024","Wed Feb 21 19:01:33 UTC 2024","27796","","Wallet - IDR Wallet - Deposit","","","","User successfully deposit IDR by E-Wallet (SHOPEEPAY) [MOBILE2-232]",""
"broken","Wed Feb 21 18:18:46 UTC 2024","Wed Feb 21 18:20:19 UTC 2024","93140","","Profile - Change Password","","","","User successfully change and create new password (using 2FA) [MOBILE2-2357]",""
"passed","Wed Feb 21 18:13:55 UTC 2024","Wed Feb 21 18:14:10 UTC 2024","14945","","Login","","","","User successfully redirected to sign up page when click Sign Up [MOBILE2-297]",""
"passed","Wed Feb 21 18:23:53 UTC 2024","Wed Feb 21 18:24:46 UTC 2024","52929","","Profile - Phone Number","","","","User succesfully add and delete a phone number [MOBILE2-129 MOBILE2-1172 MOBILE2-2353]",""
"passed","Wed Feb 21 18:09:14 UTC 2024","Wed Feb 21 18:09:25 UTC 2024","10542","","Home","","","","Users successfully redirected to market page when click ""See All"" [MOBILE2-332 MOBILE2-1529]",""
"passed","Wed Feb 21 18:52:59 UTC 2024","Wed Feb 21 18:53:31 UTC 2024","31850","","Wallet - IDR Wallet - Deposit","","","","(VIP-MANDIRI) User successfully submit deposit Rp10.000 to 24,999mio with Mandiri VA [MOBILE2-1769]",""
"passed","Wed Feb 21 19:20:18 UTC 2024","Wed Feb 21 19:20:59 UTC 2024","41604","","Wallet Home","","","","Users should be able to see empty state when have no assets for Crypto [MOBILE2-2534]",""
"passed","Wed Feb 21 19:03:26 UTC 2024","Wed Feb 21 19:04:19 UTC 2024","53049","","Wallet - IDR Wallet - Deposit","","","","User cant deposit by E-Wallet (DANA) with above the maximum deposit limit [MOBILE2-242]",""
"passed","Wed Feb 21 18:25:33 UTC 2024","Wed Feb 21 18:25:48 UTC 2024","15272","","Profile - Phone Number","","","","User unsuccesfully add a phone number if phone number has been registered [MOBILE2-1751]",""
"passed","Wed Feb 21 18:23:07 UTC 2024","Wed Feb 21 18:23:13 UTC 2024","5969","","Profile - My Account","","","","User successfully redirected to live chat web view page when click live chat here link [MOBILE2-1137]",""
"broken","Wed Feb 21 18:31:10 UTC 2024","Wed Feb 21 18:32:15 UTC 2024","65251","","Profile - Setup Withdrawal Account","","","","User successfully save and delete account number [MOBILE2-1153 MOBILE2-1180]",""
"broken","Wed Feb 21 19:08:26 UTC 2024","Wed Feb 21 19:08:54 UTC 2024","28703","","Wallet - IDR Wallet - Withdraw","","","","User can add withdraw method Transfer Bank on Withdraw Method page [MOBILE2-2102]",""
"passed","Wed Feb 21 18:30:33 UTC 2024","Wed Feb 21 18:31:10 UTC 2024","36313","","Profile - Setup Withdrawal Account","","","","User cant set wd account when havent add phone number and unverified [MOBILE2-2115]",""
