"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 02 07:14:36 UTC 2024","Tue Apr 02 07:14:58 UTC 2024","21897","","Wallet Deposit IDR","","","","User successfully deposit IDR by E-Wallet (OVO) and see the status deposit via e-wallet is waiting for payment [MOBILE2-227] | PROD_ISS",""
"passed","Tue Apr 02 07:21:09 UTC 2024","Tue Apr 02 07:21:17 UTC 2024","7573","","Wallet Home","","","","User successfully redirected to total IDR balance when click balance [MOBILE2-1075 MOBILE2-1080 MOBILE2-1579 MOBILE2-2337] | PROD_ISS",""
"passed","Tue Apr 02 07:12:09 UTC 2024","Tue Apr 02 07:13:18 UTC 2024","68921","","Wallet Deposit IDR","","","","(Non-VIP BCA) User successfully submit deposit Rp10.000 to 49,999mio with BSS VA [MOBILE2-1707] | PROD_ISS",""
"passed","Tue Apr 02 07:13:18 UTC 2024","Tue Apr 02 07:14:16 UTC 2024","57304","","Wallet Deposit IDR","","","","(Non-VIP BCA) User successfully submit deposit ≥ 100mio with Transfer Bank [MOBILE2-1766] | PROD_ISS",""
"passed","Tue Apr 02 07:22:11 UTC 2024","Tue Apr 02 07:22:20 UTC 2024","8956","","Wallet Home","","","","User successfully redirected to idr transaction history page when click history icon [MOBILE2-1585] | PROD_ISS",""
"passed","Tue Apr 02 07:18:59 UTC 2024","Tue Apr 02 07:19:20 UTC 2024","21256","","Wallet - Staking","","","","User should be able to see the rewards distribution when have a staked coin and past the reward payout period [MOBILE2-1510] | PROD_ISS",""
"passed","Tue Apr 02 07:15:46 UTC 2024","Tue Apr 02 07:16:09 UTC 2024","23284","","Wallet Deposit IDR","","","","User successfully deposit IDR by E-Wallet (SHOPEEPAY) [MOBILE2-232] | PROD_ISS",""
"passed","Tue Apr 02 07:07:54 UTC 2024","Tue Apr 02 07:08:55 UTC 2024","61649","","Market - Price Alert","","","","User successfully set price alert [MOBILE2-2633] | PROD_ISS",""
"passed","Tue Apr 02 07:15:22 UTC 2024","Tue Apr 02 07:15:46 UTC 2024","23414","","Wallet Deposit IDR","","","","User successfully deposit IDR by E-Wallet (LINKAJA) [MOBILE2-231] | PROD_ISS",""
"passed","Tue Apr 02 07:21:17 UTC 2024","Tue Apr 02 07:21:59 UTC 2024","42922","","Wallet Home","","","","User should be able to see open order balance [MOBILE2-1583] | PROD_ISS",""
"passed","Tue Apr 02 07:21:59 UTC 2024","Tue Apr 02 07:22:05 UTC 2024","5467","","Wallet Home","","","","User successfully redirected to transfer from page when click deposit idr [MOBILE2-1087] | PROD_ISS",""
"passed","Tue Apr 02 07:18:02 UTC 2024","Tue Apr 02 07:18:30 UTC 2024","28103","","Wallet - Staking","","","","User successfully redirected to coin stake form when click stake button on coin [MOBILE2-1481 MOBILE2-1486 MOBILE2-1495] | PROD_ISS",""
"passed","Tue Apr 02 07:11:48 UTC 2024","Tue Apr 02 07:12:09 UTC 2024","21448","","Wallet Deposit IDR","","","","(VIP-BCA) User successfully submit deposit with Virtual Account [MOBILE2-1765] | PROD_ISS",""
"passed","Tue Apr 02 07:20:28 UTC 2024","Tue Apr 02 07:21:09 UTC 2024","40922","","Wallet Home","","","","User successfully redirected to transaction history page when click history icon [MOBILE2-649] | PROD_ISS",""
"passed","Tue Apr 02 07:06:25 UTC 2024","Tue Apr 02 07:06:52 UTC 2024","27240","","Deeplink Reset Password","","","","User access deeplink reset password | PROD_ISS",""
"passed","Tue Apr 02 07:10:11 UTC 2024","Tue Apr 02 07:11:48 UTC 2024","97137","","Wallet Deposit IDR","","","","(VIP-BCA) User successfully submit deposit with Transfer Bank and see the status deposit via Bank Transfer is waiting for payment [MOBILE2-1705 MOBILE2-175] | PROD_ISS",""
"passed","Tue Apr 02 07:14:16 UTC 2024","Tue Apr 02 07:14:36 UTC 2024","20254","","Wallet Deposit IDR","","","","(Non-VIP BCA) User successfully submit deposit ≥ 100mio with Virtual Account [MOBILE2-1767] | PROD_ISS",""
"passed","Tue Apr 02 07:14:58 UTC 2024","Tue Apr 02 07:15:22 UTC 2024","24370","","Wallet Deposit IDR","","","","User successfully deposit IDR by E-Wallet (DANA) [MOBILE2-228 MOBILE2-183] | PROD_ISS",""
"passed","Tue Apr 02 07:22:05 UTC 2024","Tue Apr 02 07:22:11 UTC 2024","5819","","Wallet Home","","","","User successfully redirected to withdraw page when click withdraw idr [MOBILE2-1088] | PROD_ISS",""
"passed","Tue Apr 02 07:17:06 UTC 2024","Tue Apr 02 07:18:02 UTC 2024","55981","","Wallet - Staking","","","","User should be able to see total stake [MOBILE2-1474 MOBILE2-2417 MOBILE2-2418 MOBILE2-1484 MOBILE2-2419 MOBILE2-2420] | PROD_ISS",""
"passed","Tue Apr 02 07:18:30 UTC 2024","Tue Apr 02 07:18:59 UTC 2024","29387","","Wallet - Staking","","","","User shoud be able see total stake at coin detail page [MOBILE2-1509 MOBILE2-1497 MOBILE2-1504 MOBILE2-1505] | PROD_ISS",""
