"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 25 21:16:17 UTC 2024","Mon Mar 25 21:16:23 UTC 2024","6206","","Wallet Home","","","","User successfully redirected to withdraw page when click withdraw idr [MOBILE2-1088] | PROD_ISS",""
"passed","Mon Mar 25 21:12:15 UTC 2024","Mon Mar 25 21:12:35 UTC 2024","20116","","Wallet Deposit IDR","","","","User successfully deposit IDR by E-Wallet (OVO) and see the status deposit via e-wallet is waiting for payment [MOBILE2-227] | PROD_ISS",""
"passed","Mon Mar 25 21:08:07 UTC 2024","Mon Mar 25 21:09:41 UTC 2024","93588","","Wallet Deposit IDR","","","","(VIP-BCA) User successfully submit deposit with Transfer Bank and see the status deposit via Bank Transfer is waiting for payment [MOBILE2-1705 MOBILE2-175] | PROD_ISS",""
"passed","Mon Mar 25 21:11:57 UTC 2024","Mon Mar 25 21:12:15 UTC 2024","18317","","Wallet Deposit IDR","","","","(Non-VIP BCA) User successfully submit deposit ≥ 100mio with Virtual Account [MOBILE2-1767] | PROD_ISS",""
"passed","Mon Mar 25 21:13:16 UTC 2024","Mon Mar 25 21:13:37 UTC 2024","20484","","Wallet Deposit IDR","","","","User successfully deposit IDR by E-Wallet (SHOPEEPAY) [MOBILE2-232] | PROD_ISS",""
"passed","Mon Mar 25 21:09:59 UTC 2024","Mon Mar 25 21:11:04 UTC 2024","64846","","Wallet Deposit IDR","","","","(Non-VIP BCA) User successfully submit deposit Rp10.000 to 49,999mio with BSS VA [MOBILE2-1707] | PROD_ISS",""
"broken","Mon Mar 25 21:05:46 UTC 2024","Mon Mar 25 21:07:00 UTC 2024","73670","","Market - Price Alert","","","","User successfully set price alert [MOBILE2-2633] | PROD_ISS",""
"passed","Mon Mar 25 21:16:11 UTC 2024","Mon Mar 25 21:16:17 UTC 2024","5509","","Wallet Home","","","","User successfully redirected to transfer from page when click deposit idr [MOBILE2-1087] | PROD_ISS",""
"passed","Mon Mar 25 21:15:28 UTC 2024","Mon Mar 25 21:16:11 UTC 2024","43481","","Wallet Home","","","","User should be able to see open order balance [MOBILE2-1583] | PROD_ISS",""
"passed","Mon Mar 25 21:12:35 UTC 2024","Mon Mar 25 21:12:56 UTC 2024","20587","","Wallet Deposit IDR","","","","User successfully deposit IDR by E-Wallet (DANA) [MOBILE2-228 MOBILE2-183] | PROD_ISS",""
"passed","Mon Mar 25 21:12:56 UTC 2024","Mon Mar 25 21:13:16 UTC 2024","20578","","Wallet Deposit IDR","","","","User successfully deposit IDR by E-Wallet (LINKAJA) [MOBILE2-231] | PROD_ISS",""
"passed","Mon Mar 25 21:11:04 UTC 2024","Mon Mar 25 21:11:57 UTC 2024","52490","","Wallet Deposit IDR","","","","(Non-VIP BCA) User successfully submit deposit ≥ 100mio with Transfer Bank [MOBILE2-1766] | PROD_ISS",""
"passed","Mon Mar 25 21:15:20 UTC 2024","Mon Mar 25 21:15:28 UTC 2024","8109","","Wallet Home","","","","User successfully redirected to total IDR balance when click balance [MOBILE2-1075 MOBILE2-1080 MOBILE2-1579 MOBILE2-2337] | PROD_ISS",""
"passed","Mon Mar 25 21:16:23 UTC 2024","Mon Mar 25 21:16:32 UTC 2024","9097","","Wallet Home","","","","User successfully redirected to idr transaction history page when click history icon [MOBILE2-1585] | PROD_ISS",""
"passed","Mon Mar 25 21:14:39 UTC 2024","Mon Mar 25 21:15:20 UTC 2024","40739","","Wallet Home","","","","User successfully redirected to transaction history page when click history icon [MOBILE2-649] | PROD_ISS",""
"passed","Mon Mar 25 21:04:12 UTC 2024","Mon Mar 25 21:04:42 UTC 2024","30582","","Deeplink Reset Password","","","","User access deeplink reset password | PROD_ISS",""
"passed","Mon Mar 25 21:09:41 UTC 2024","Mon Mar 25 21:09:59 UTC 2024","18615","","Wallet Deposit IDR","","","","(VIP-BCA) User successfully submit deposit with Virtual Account [MOBILE2-1765] | PROD_ISS",""
