"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 27 14:14:57 WIB 2023","Mon Nov 27 14:15:01 WIB 2023","4267","","Wallet Deposit IDR [NON-VIP USER]","","Wallet Deposit IDR [NON-VIP USER]","(Non-VIP MANDIRI) User successfully submit deposit Rp10.000 to 24,999mio with Mandiri VA [MOBILE2-1771]","(Non-VIP MANDIRI) User successfully submit deposit Rp10.000 to 24,999mio with Mandiri VA [MOBILE2-1771]",""
"passed","Mon Nov 27 14:17:44 WIB 2023","Mon Nov 27 14:17:44 WIB 2023","382","","Wallet Home [NON-VIP USER]","","Wallet Home [NON-VIP USER]","User successfully redirected to receive coin page when click receive coin [MOBILE2-643]","User successfully redirected to receive coin page when click receive coin [MOBILE2-643]",""
"passed","Mon Nov 27 14:12:06 WIB 2023","Mon Nov 27 14:12:08 WIB 2023","1922","","Profile - My Account [VERIFIED USER]","","Profile - My Account [VERIFIED USER]","User successfully redirected to live chat web view page when click live chat here link [MOBILE2-1137]","User successfully redirected to live chat web view page when click live chat here link [MOBILE2-1137]",""
"passed","Mon Nov 27 14:18:13 WIB 2023","Mon Nov 27 14:18:27 WIB 2023","13382","","Wallet Withdraw IDR [NON-VIP USER]","","Wallet Withdraw IDR [NON-VIP USER]","User can't submit withdraw internal transfer when input invalid address [MOBILE2-2195]","User can't submit withdraw internal transfer when input invalid address [MOBILE2-2195]",""
"failed","Mon Nov 27 14:16:00 WIB 2023","Mon Nov 27 14:16:05 WIB 2023","4681","","Wallet Deposit IDR [NON-VIP USER]","","Wallet Deposit IDR [NON-VIP USER]","User successfully deposit IDR by E-Wallet (DANA) [MOBILE2-228]","User successfully deposit IDR by E-Wallet (DANA) [MOBILE2-228]",""
"passed","Mon Nov 27 14:17:47 WIB 2023","Mon Nov 27 14:17:59 WIB 2023","11551","","Wallet Home [UNVERIFIED UNREGISTERED-PHONE USER]","","Wallet Home [UNVERIFIED UNREGISTERED-PHONE USER]","User can see a section/banner when don not have balance and never purchased or deposited a coin [MOBILE2-652]","User can see a section/banner when don not have balance and never purchased or deposited a coin [MOBILE2-652]",""
"passed","Mon Nov 27 14:13:43 WIB 2023","Mon Nov 27 14:13:44 WIB 2023","381","","Profile [VERIFIED USER]","","Profile [VERIFIED USER]","User successfully redirected to help center page when click help center menu [MOBILE2-1052]","User successfully redirected to help center page when click help center menu [MOBILE2-1052]",""
"passed","Mon Nov 27 14:17:45 WIB 2023","Mon Nov 27 14:17:46 WIB 2023","665","","Wallet Home [NON-VIP USER]","","Wallet Home [NON-VIP USER]","User successfully redirected to transfer from page when click deposit idr [MOBILE2-1087]","User successfully redirected to transfer from page when click deposit idr [MOBILE2-1087]",""
"passed","Mon Nov 27 14:11:58 WIB 2023","Mon Nov 27 14:12:06 WIB 2023","8137","","Profile - My Account [VERIFIED USER]","","Profile - My Account [VERIFIED USER]","User can see detail information account (Verified Account) [MOBILE2-1054]","User can see detail information account (Verified Account) [MOBILE2-1054]",""
"passed","Mon Nov 27 14:16:51 WIB 2023","Mon Nov 27 14:16:53 WIB 2023","2085","","Wallet Send Coin [VERIFIED USER]","","Wallet Send Coin [VERIFIED USER]","User unsuccessfully send coin when input amount coin above the available coin balance [MOBILE2-2282]","User unsuccessfully send coin when input amount coin above the available coin balance [MOBILE2-2282]",""
