"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 25 15:58:24 UTC 2024","Thu Apr 25 15:59:25 UTC 2024","60312","","Wallet - Transaction History - US Stock","","","","User successfully redirected to Stock wallet transaction history [MOBILE2-3127] | BETA-V3",""
"broken","Thu Apr 25 14:35:47 UTC 2024","Thu Apr 25 14:36:51 UTC 2024","63681","","Profile - My Account","","","","Unverified user successfully redirected to verify account page when click verify now buttton [MOBILE2-1135] | BETA",""
"passed","Thu Apr 25 16:38:30 UTC 2024","Thu Apr 25 16:38:51 UTC 2024","20922","","Wallet - USD Wallet","","","","User successfully redirected to Buy page when click Buy [MOBILE2-2572] | BETA-V3",""
"passed","Thu Apr 25 14:03:26 UTC 2024","Thu Apr 25 14:03:36 UTC 2024","9420","","Crypto - Discovery","","","","User can see staking entry point [MOBILE2-3552] | BETA-V3",""
"passed","Thu Apr 25 15:18:36 UTC 2024","Thu Apr 25 15:19:16 UTC 2024","40345","","Wallet - IDR Wallet - Transaction Detail","","","","User should be able to see transaction detail of Withdraw with Internal Transfer [MOBILE2-3314] | BETA-V3",""
"passed","Thu Apr 25 16:28:50 UTC 2024","Thu Apr 25 16:30:38 UTC 2024","107974","","Wallet - USD - Transaction Detail","","","","User should be able to see transaction detail of Buy USD [MOBILE2-3315] | BETA-V3",""
"passed","Thu Apr 25 14:11:14 UTC 2024","Thu Apr 25 14:11:49 UTC 2024","34926","","Crypto - Trading History","","","","User can filter the order history Crypto with transaction type sell [MOBILE2-3163] | BETA-V3",""
"passed","Thu Apr 25 14:42:17 UTC 2024","Thu Apr 25 14:42:24 UTC 2024","6328","","US Stock - Discovery","","","","User can see Market status [MOBILE2-3559] | BETA-V3",""
"passed","Thu Apr 25 15:30:26 UTC 2024","Thu Apr 25 15:30:49 UTC 2024","22725","","Wallet - Transaction History - Crypto","","","","User can filter the transaction history Crypto with status failed [MOBILE2-3113] | BETA-V3",""
"broken","Thu Apr 25 16:03:44 UTC 2024","Thu Apr 25 16:05:03 UTC 2024","79347","","Wallet - Transaction History - US Stock","","","","User can filter the transaction history Stock with transaction type Stock & Reverse Split [MOBILE2-3145] | BETA-V3",""
"passed","Thu Apr 25 15:31:18 UTC 2024","Thu Apr 25 15:31:49 UTC 2024","31040","","Wallet - Transaction History - Crypto","","","","User can filter the transaction history Crypto with select multiple transaction type and status [MOBILE2-3108] | BETA-V3",""
"passed","Thu Apr 25 15:17:52 UTC 2024","Thu Apr 25 15:18:36 UTC 2024","43960","","Wallet - IDR Wallet - Transaction Detail","","","","User should be able to see transaction detail of Withdraw with E-Wallet [MOBILE2-3313] | BETA-V3",""
"passed","Thu Apr 25 15:29:34 UTC 2024","Thu Apr 25 15:29:57 UTC 2024","22701","","Wallet - Transaction History - Crypto","","","","User can filter the transaction history Crypto with transaction type sell [MOBILE2-3110] | BETA-V3",""
"passed","Thu Apr 25 15:03:07 UTC 2024","Thu Apr 25 15:03:25 UTC 2024","17935","","Wallet - Crypto Wallet","","","","User should be able to see the last 10 transaction history on crypto card page [MOBILE2-2554] | BETA-V3",""
"passed","Thu Apr 25 15:54:26 UTC 2024","Thu Apr 25 15:54:44 UTC 2024","18260","","Wallet - Transaction History - IDR","","","","User can filter the transaction history IDR with transaction type withdraw [MOBILE2-3039] | BETA-V3",""
