"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Apr 04 15:52:20 UTC 2024","Thu Apr 04 15:52:55 UTC 2024","35628","","Wallet - Transaction History - Crypto","","","","BETA-V3 User can't filter the transaction history Crypto with select date more than 1 year [MOBILE2-3260]",""
"passed","Thu Apr 04 16:01:36 UTC 2024","Thu Apr 04 16:01:58 UTC 2024","21844","","Wallet - Transaction History - General","","","","BETA-V3 User can't filter the transaction history Balance IDR with select date more than 1 year [MOBILE2-3250]",""
"passed","Thu Apr 04 16:24:22 UTC 2024","Thu Apr 04 16:24:55 UTC 2024","32942","","Wallet - Transaction History - US Stock","","","","BETA-V3 User can filter the transaction history  Stock with status failed [MOBILE2-3137]",""
"passed","Thu Apr 04 16:26:36 UTC 2024","Thu Apr 04 16:27:12 UTC 2024","35485","","Wallet - Transaction History - US Stock","","","","BETA-V3 User can unselect filter the transaction history Stock [MOBILE2-3142 MOBILE2-3144]",""
"passed","Thu Apr 04 15:35:00 UTC 2024","Thu Apr 04 15:35:11 UTC 2024","11506","","Wallet - IDR Wallet","","","","BETA-V3 User should be able see last 10 transaction history on IDR Card page [MOBILE2-2557]",""
"broken","Thu Apr 04 16:29:09 UTC 2024","Thu Apr 04 16:29:47 UTC 2024","37646","","Wallet - Transaction History - USD","","","","BETA-V3 User successfully redirected to USD transaction detail page [MOBILE2-3074]",""
"broken","Thu Apr 04 14:59:57 UTC 2024","Thu Apr 04 15:02:28 UTC 2024","150774","","Wallet - Crypto - Transaction Detail","","","","EXPECTED FAIL - BETA-V3 User should be able to see transaction detail of Staking Earned [MOBILE2-3332]",""
"passed","Thu Apr 04 14:02:26 UTC 2024","Thu Apr 04 14:02:58 UTC 2024","32723","","Crypto - Discovery","","","","BETA-V3 User hasn't sign in click entry point staking [MOBILE2-3620]",""
"passed","Thu Apr 04 16:48:22 UTC 2024","Thu Apr 04 16:48:55 UTC 2024","32877","","Wallet - USD Wallet - Buy/Sell","","","","BETA-V3 User successfully sell USD from entry point wallet [MOBILE2-2619]",""
"broken","Thu Apr 04 14:09:02 UTC 2024","Thu Apr 04 14:10:23 UTC 2024","81245","","Crypto - Trading History","","","","BETA-V3 User can see entry point crypto order history at Pro-buy/sell form [MOBILE2-2726]",""
"broken","Thu Apr 04 15:06:56 UTC 2024","Thu Apr 04 15:06:57 UTC 2024","1326","","Wallet - Crypto - Transaction Detail","","","","EXPECTED FAIL - BETA-V3 User should be able to see transaction detail of Sell Crypto status Success [MOBILE2-3324]",""
"passed","Thu Apr 04 14:06:48 UTC 2024","Thu Apr 04 14:07:14 UTC 2024","25884","","Crypto - Market","","","","BETA-V3 User successfully redirected to market crypto page [MOBILE2-3463]",""
"broken","Thu Apr 04 17:03:30 UTC 2024","Thu Apr 04 17:04:48 UTC 2024","77921","","Wallet - USD Wallet - Yield","","","","BETA-V3 User should be able to see total yield earned on USD Card page [MOBILE2-3348]",""
"passed","Thu Apr 04 16:21:06 UTC 2024","Thu Apr 04 16:21:47 UTC 2024","41095","","Wallet - Transaction History - US Stock","","","","BETA-V3 User successfully redirected to Stock transaction detail page [MOBILE2-3129]",""
"broken","Thu Apr 04 15:48:08 UTC 2024","Thu Apr 04 15:48:44 UTC 2024","35737","","Wallet - Transaction History - Crypto","","","","BETA-V3 User can filter the transaction history Crypto with transaction type sell [MOBILE2-3110]",""
"failed","Thu Apr 04 15:43:58 UTC 2024","Thu Apr 04 15:45:01 UTC 2024","63434","","Wallet - IDR Wallet - Withdraw","","","","BETA User successfully withdraw IDR Internal Transfer/E-wallet/Transfer Bank with percentage 100% from available balance [MOBILE2-2213]",""
"passed","Thu Apr 04 14:44:22 UTC 2024","Thu Apr 04 14:45:30 UTC 2024","67850","","US Stock - Market","","","","BETA-V3 User successfully redirected to market us stock page [MOBILE2-3622]",""
"passed","Thu Apr 04 16:03:34 UTC 2024","Thu Apr 04 16:03:56 UTC 2024","21974","","Wallet - Transaction History - General","","","","BETA-V3 User can filter the transaction history Balance USD with select multiple transaction type and status [MOBILE2-2947]",""
"broken","Thu Apr 04 14:11:56 UTC 2024","Thu Apr 04 14:13:28 UTC 2024","91832","","Crypto - Trading History","","","","BETA-V3 User successfully redirected to order history crypto transaction detail page [MOBILE2-2733]",""
"passed","Thu Apr 04 16:45:01 UTC 2024","Thu Apr 04 16:45:26 UTC 2024","24592","","Wallet - US Stock Wallet","","","","BETA-V3 User should be able to see the Sell coins transaction history [MOBILE2-2581]",""
"broken","Thu Apr 04 14:28:04 UTC 2024","Thu Apr 04 14:29:02 UTC 2024","57380","","Crypto - Trading History","","","","BETA-V3 User can reset filter the pending order history crypto [MOBILE2-3190]",""
